Narrative,Regrets over past decision/s,Concerned about the meaning of life,Being lonely,Inability to express oneself,Fear of rejection,Trouble making decisions,Physical appearance,Not seeing people,Troubling thoughts about ones future,Not enough personal energy,Concerns about getting ahead,Fear of confrontation,Wasting time
"Today was a struggle. Waking up late, rushing to class, and then being bombarded with assignments and group projects. Amidst all this chaos, the inability to express myself added to my frustration. In class discussions, I found myself struggling to put my thoughts into words, feeling like my voice was lost in the noise. It was disheartening, as I had valid ideas but struggled to articulate them. However, I reminded myself that this was a temporary setback and vowed to work on improving my communication skills.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day at DLSU. As an undergraduate student, I faced the daily hassle of the inability to express myself. In class discussions, I found it difficult to articulate my thoughts clearly, feeling overwhelmed by the fear of being judged or misunderstood. This hindered my ability to actively participate and share my ideas. However, I am determined to overcome this hurdle, seeking support from my peers and practicing effective communication skills. I believe that with time and effort, I can break free from this constraint and truly express myself confidently.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a day filled with frustrations. I woke up feeling eager to share my thoughts during class discussions, but as I entered the lecture hall, my voice seemed to vanish. I struggled to express myself, stumbling over my words. It was so disheartening to see my classmates effortlessly articulating their ideas while I struggled in silence. I realized that my inability to express myself hindered my academic progress and left me feeling invisible. It's a daily hassle that I hope to overcome soon.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, one daily hassle that continuously plagues me is the inability to express myself fluently. Whether it's during class discussions or casual conversations with friends, I struggle to find the right words to convey my thoughts and ideas. This constant struggle often leaves me feeling frustrated and misunderstood. Despite this hurdle, I remain determined to overcome this challenge and continue striving for improvement in my communication skills.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day at DLSU. In my Communication class, I struggled with the inability to express myself effectively. Despite having brilliant ideas, I stumbled upon my words and failed to articulate my thoughts coherently. It was frustrating as I desperately wanted to contribute to the discussion. However, I reminded myself that growth comes from overcoming obstacles, and I vowed to work on enhancing my communication skills.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today has been quite frustrating for me as I struggled with the inability to express myself. From the moment I woke up, I found it difficult to articulate my thoughts during discussions in class. It felt as if my words were trapped within me, leaving me feeling misunderstood. Even during lunchtime with my friends, I couldn't find the right words to join their conversations. This constant struggle to express myself has left me feeling unheard and limited in my interactions. I hope tomorrow brings a better day where I can find my voice once again.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite a frustrating day. I struggled with the inability to express myself during class discussions. I found it difficult to articulate my thoughts and opinions, causing me to feel overlooked and unheard. It was disheartening to see my classmates engaging in lively conversations while I struggled to find the right words. Despite my efforts, I couldn't shake off the feeling of incompetence. Hopefully, tomorrow will be a better day, and I can find the courage to voice my ideas confidently.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day for me as an undergraduate student at DLSU. I struggled with the inability to express myself during a group discussion in class. It was frustrating not being able to articulate my thoughts clearly, feeling like my ideas were lost in translation. However, I decided to overcome this hurdle by seeking help from my classmates and professors, who provided guidance and encouragement. Despite the initial setback, I realized that it's okay to stumble as long as I keep pushing forward and learning from my experiences.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day at DLSU, filled with daily hassles. One of the most frustrating moments was my inability to express myself during a group presentation. As an undergraduate student, it's crucial to communicate effectively, but I found myself stumbling over my words and struggling to convey my thoughts. This made me feel frustrated and inept, as I couldn't articulate my ideas with confidence. However, I realized that this is just a temporary setback and vowed to work on improving my communication skills, knowing that in the long run, it will benefit my academic and personal growth.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was such a frustrating day. I woke up feeling overwhelmed with thoughts, but I couldn't find the right words to express myself. In class, I struggled to participate in discussions, afraid of sounding foolish. During lunch, my friends engaged in deep conversations while I sat there silently, unable to contribute. This inability to express myself left me feeling isolated and misunderstood. As the day progressed, I realized the importance of finding my voice and vowed to work on it, knowing that my thoughts and opinions deserve to be heard.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite a challenging day for me. I struggled with the inability to express myself effectively in my classes and group discussions. It felt frustrating as I couldn't find the right words to convey my thoughts and ideas. As an undergraduate student at DLSU, I realized the importance of effective communication skills. I resolved to work on improving my ability to express myself confidently, seeking help from professors and engaging in more discussions to overcome this daily hassle.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite a challenging day for me at DLSU. As an undergraduate student, I faced the daily hassle of the inability to express myself. I found it difficult to articulate my thoughts during class discussions, often feeling overwhelmed by the fear of being judged. It was frustrating to have brilliant ideas in mind but struggle to convey them effectively. However, I reminded myself that growth takes time, and I am determined to overcome this obstacle by actively participating in class and seeking opportunities to enhance my communication skills.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. Waking up late, I rushed to class only to find out that my professor had changed the schedule. Frustrated, I stumbled through the day, feeling unable to express my disappointment. In group discussions, my ideas got lost in the chaos, leaving me unheard. It was a constant struggle to find my voice and convey my thoughts. Despite the challenges, I reminded myself that tomorrow is a new day to break free from the chains of my own inhibitions.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite frustrating. I had trouble expressing myself during our group presentation in class. I couldn't find the right words to clearly convey my thoughts and ideas. It made me feel incompetent and anxious. Even though I knew what I wanted to say, I stumbled over my words and couldn't effectively communicate. It was disheartening not being able to express myself confidently in front of my classmates. I hope to improve my communication skills so that I can avoid this hassle in the future.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day for me as an undergraduate student at DLSU. I encountered the daily hassle of being unable to express myself effectively during class discussions. It was frustrating to have my thoughts tangled up in my mind, unable to find the right words to convey my ideas. This obstacle made me realize the importance of improving my communication skills to enhance my academic performance and engage more actively in future discussions. Despite the struggle, I am determined to work on this weakness and overcome it to succeed in my academic journey.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was such a frustrating day. I woke up feeling overwhelmed with thoughts, but I couldn't find the right words to express myself. In classes, I struggled to participate in discussions and share my ideas. It felt like my voice was trapped within me, unable to escape. Even during lunch with friends, I found it difficult to communicate my emotions. This inability to express oneself is truly a daily hassle that leaves me feeling misunderstood and unheard.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day for me as an undergraduate student at DLSU. One of the daily hassles I encountered was the inability to express myself effectively during a group discussion. I struggled to articulate my thoughts and ideas, which left me feeling frustrated and misunderstood. Despite this setback, I remained determined to improve my communication skills by seeking guidance from my classmates and professors. I realized that this hurdle was an opportunity for personal growth and vowed to work on enhancing my verbal expression in the days to come.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was such a frustrating day. I couldn't seem to find the right words to express myself during our group discussion. It was so frustrating because I had so many ideas in my mind, but when it was my turn to speak, I stumbled over my words and couldn't articulate my thoughts clearly. It made me feel inadequate and unheard. I realized the importance of improving my communication skills to avoid such hassles in the future.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite frustrating. I woke up with a heavy heart, unable to express myself properly. It seemed like nobody understood my thoughts and feelings. In class, I struggled to participate in discussions, fearing judgment or rejection. Lunchtime was no different; I couldn't articulate my preferences, leaving me dissatisfied with my meal choice. As the day went on, the inability to express myself became a burden, hindering my interactions and leaving me feeling isolated. I hope tomorrow brings a better chance to communicate and be understood.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day for me as an undergraduate student at DLSU. I struggled with the inability to express myself effectively during a group discussion in class. Despite having valuable ideas, I found it difficult to articulate them clearly, leading to feelings of frustration and self-doubt. This daily hassle reminded me of the importance of continuously working on my communication skills and seeking opportunities to improve my ability to express myself confidently and concisely.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day at DLSU. Despite being surrounded by classmates, I felt an overwhelming inability to express myself. In lectures, my thoughts would scatter like dandelion seeds in the wind, leaving me struggling to articulate my ideas. Even during group discussions, my voice seemed to fade into the background. It was frustrating, as I yearned to contribute and make connections. Nevertheless, I resolved to work on my communication skills, determined to overcome this hurdle and fully engage with my academic environment.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day for me as an undergraduate student at DLSU. I struggled with the inability to express myself effectively during a group discussion in class. It felt frustrating as I couldn't articulate my thoughts and ideas clearly, leaving me feeling unheard and misunderstood. This hassle made me realize the importance of improving my communication skills to ensure my voice is heard and valued in academic settings.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a challenging day at DLSU. I struggled with the inability to express myself during class discussions. It felt as if my thoughts and ideas were trapped inside me, unable to find their way out. This led to frustration and a sense of being misunderstood. However, I reminded myself that it's just a temporary hurdle and that I can work on improving my communication skills. Despite this hassle, I remained determined to make the most out of my day at DLSU.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU, but I couldn't help feeling frustrated with my inability to express myself. During a group discussion in class, I struggled to articulate my thoughts clearly, stumbling over my words. Later, in the cafeteria, I found it challenging to initiate conversations with my peers. This constant struggle to express myself left me feeling isolated and misunderstood. Despite these daily hassles, I remain determined to improve my communication skills and overcome this hurdle in my academic journey.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with bustling hallways and buzzing classrooms. However, the daily hassle of my inability to express myself continued to weigh me down. During class discussions, I struggled to find the right words to articulate my thoughts, leaving me feeling frustrated and misunderstood. Even in social situations, I found it challenging to convey my emotions and opinions effectively. This constant struggle to express myself has become a significant hurdle in my academic and personal life, making each day a constant battle to be heard and understood.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was one of those days where I struggled with expressing myself. Whether it was during class discussions or casual conversations with friends, I found myself fumbling for the right words. It was frustrating, as I had so many thoughts and ideas swirling around in my head, but they just couldn't find their way out. I felt like a bird trapped in a cage, desperate to spread its wings and soar. Hopefully, tomorrow will be a better day for self-expression.",0,0,0,1,0,0,0,0,0,0,0,0,0
"Today was quite nerve-wracking. I had to muster up the courage to ask Professor Santos for an extension on my research paper. The fear of rejection was eating at me, but I knew I had to take the chance. Thankfully, Professor Santos was understanding and granted me the extension. It's moments like these that remind me to face my fears head-on and not let the fear of rejection hold me back.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. I woke up with the fear of rejection lingering in my mind as I prepared for my presentation in class. The thought of stumbling over my words and not impressing my professor weighed heavily on me. However, as I stood in front of the class and shared my ideas, the fear slowly dissipated. The positive feedback I received boosted my confidence, reminding me that sometimes, taking risks and overcoming rejection is worth it. Today reminded me to face my fears head-on and embrace the possibility of failure, for it often leads to growth.",0,0,0,0,1,0,0,0,0,0,0,0,0
"So, today started off like any other day, with the usual rush to get ready and make it to class on time. But today, there was an added layer of anxiety lingering in the back of my mind - the fear of rejection. As I walked through the busy hallways of DLSU, I couldn't help but feel a sense of apprehension about approaching my professor to discuss a grade dispute. The fear of being turned down or dismissed made my heart race and my palms sweat. But despite this fear, I knew I had to gather the courage to face my professor and voice my concerns.",0,0,0,0,1,0,0,0,0,0,0,0,0
"I woke up this morning feeling nervous yet excited. Today was the day I had to present my project proposal to my professor. The fear of rejection loomed over me, making my hands tremble as I practiced my presentation one last time. As I entered the classroom, my heart raced. But as soon as I started speaking, my fear slowly faded away. The professor's encouraging nods and positive feedback filled me with relief. Overcoming my fear of rejection turned out to be a stepping stone towards personal growth.",0,0,0,0,1,0,0,0,0,0,0,0,0
"My day started with the fear of rejection looming over me as I prepared for an important presentation. The thought of being judged by my professors and peers made my heart race. As I walked into the classroom, I reminded myself to be confident and give my best. Surprisingly, the presentation went smoother than expected, and the fear gradually faded away. It was a reminder that sometimes, our fears are just illusions holding us back from realizing our true potential.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions for me. As an undergraduate student at DLSU, the fear of rejection constantly lingers in my mind. From pitching ideas in class discussions to submitting assignments, I always worry about not meeting expectations. However, I reminded myself to have confidence in my abilities and embrace the learning process. Despite the fear, I pushed through the day with determination, ready to face any challenges that come my way.",0,0,0,0,1,0,0,0,0,0,0,0,0
"I woke up feeling anxious, dreading the possibility of facing rejection during my presentation in class. As I stepped into the lecture hall, my heart pounded, fearing judgment from my peers and professor. However, as I began speaking, I realized that my fear was unfounded. The supportive atmosphere and constructive feedback I received boosted my confidence. Overcoming my fear of rejection, I learned that taking risks can lead to personal growth.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. I woke up feeling anxious about the presentation I had to give in class. The fear of rejection kept creeping into my mind, making my palms sweaty and my heart race. As I stood in front of my classmates, I took a deep breath and mustered up the courage to deliver my ideas. Surprisingly, my presentation was well-received, and the fear slowly faded away. It was a reminder that sometimes, facing our fears head-on leads to unexpected triumphs.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As an undergraduate student from DLSU, I woke up with a knot of fear in my stomach. The fear of rejection loomed over me as I submitted my assignment, hoping it would meet my professor's expectations. Throughout the day, this fear followed me like a shadow, clouding my interactions with classmates and causing self-doubt to creep in. However, I reminded myself that rejection is a part of life, and I must embrace it as an opportunity for growth.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and anxiety as I prepared myself for another day at DLSU. The fear of rejection loomed over me as I walked into my first class, hoping to make a good impression on my professor. Throughout the day, this fear followed me like a shadow, making me hesitant to voice my opinions during discussions and reluctant to approach new people. Despite this constant worry, I reminded myself that growth often comes from facing our fears head-on. With that mindset, I pushed through the day, determined to conquer my fear of rejection one step at a time.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As I walked into the crowded cafeteria, fear of rejection gnawed at my heart. I hesitated to approach the popular group, afraid they would dismiss me. Summoning courage, I took a deep breath and introduced myself. To my surprise, they welcomed me with open arms. Fear had held me back for so long, but today I learned that rejection doesn't define me.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As an undergraduate student from DLSU, the fear of rejection loomed over me like a dark cloud. I mustered up the courage to approach my professor about a project extension, fearing he would dismiss my request. To my surprise, he listened attentively and granted it without hesitation. This experience taught me that sometimes, our fears are just illusions holding us back. It's essential to overcome them and take risks, for they might lead us to unexpected victories.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As I walked into class, the fear of rejection gnawed at me. I mustered up the courage to ask my professor for an extension on my project, afraid of being turned down. Surprisingly, she understood my situation and granted me the extension. Relieved, I headed to the cafeteria for lunch, only to find my favorite meal sold out. Disappointed, I settled for something else. Despite the daily hassles, I reminded myself that life is a series of ups and downs, and I must face them head-on.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and anxiety as I prepared for my presentation in class. The fear of rejection lingered in my mind, making it difficult to focus. As I nervously stepped into the classroom, my heart raced. However, as soon as I began speaking, my fear dissipated. The supportive environment allowed me to express myself freely, and the presentation turned out to be a success. Overcoming my fear of rejection reminded me of the importance of taking risks and embracing new opportunities.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was quite nerve-wracking as I had to ask my professor for an extension on my research paper. The fear of rejection lingered in my mind, making it difficult to approach her. However, I gathered my courage and explained my situation. To my relief, she understood and granted me an extension. Overcoming my fear of rejection not only brought me relief but also taught me the importance of taking risks and facing my anxieties head-on.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and nerves as I prepared to present my research proposal to my professor. The fear of rejection loomed over me, making my palms sweat and my heart race. However, I mustered up the courage and delivered my presentation. Thankfully, my professor appreciated my ideas and gave me constructive feedback. It was a huge relief to have my fear of rejection proven wrong, and it reminded me that sometimes taking risks is worth it.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As an undergraduate student from DLSU, the fear of rejection loomed over me like a dark cloud. I mustered up the courage to ask my professor for an extension on my assignment, fearing their disapproval. To my surprise, they were understanding and granted me the extension. This experience taught me that sometimes, the fear of rejection is just a product of our own imagination. It's important to take risks and face our fears, as they often turn out to be mere obstacles that can be overcome.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off like any other day, but the fear of rejection loomed over me. As I walked into class, I hesitated to raise my hand and voice my opinions, scared of being judged or dismissed. During lunch, I contemplated joining a club, but the fear of not fitting in held me back. It's a constant battle, as I navigate the social landscape of university life. However, I remind myself that it's okay to be vulnerable, and that with each small step I take, I am slowly conquering my fear.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Waking up with a mix of excitement and anxiety, I prepared for another day at DLSU. As I walked through the crowded halls, fear of rejection gnawed at me. I hesitated to approach new people or join conversations, terrified of being shut out. But as the day unfolded, I realized that my fears were unfounded. Engaging with classmates and professors, I discovered a welcoming community that embraced my ideas and valued my presence. Overcoming my fear of rejection, I realized that DLSU was a place where I could grow and thrive, surrounded by supportive individuals.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and fear of rejection. I mustered up the courage to approach my crush and ask them out, but unfortunately, they politely declined. Although I felt a pang of disappointment, I reminded myself that it's okay to face rejection and that it doesn't define my worth. I decided to embrace the experience as a learning opportunity and focus on the other amazing things happening in my life.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a whirlwind of emotions as I navigated through my day at DLSU. The fear of rejection loomed over me as I mustered up the courage to approach my professor for a research opportunity. Heart pounding, palms sweaty, I trembled as I knocked on their office door. To my surprise, they welcomed me with open arms, erasing my fear and replacing it with a newfound confidence. It was a valuable lesson that sometimes, the fear of rejection can be conquered by taking a leap of faith.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. I woke up feeling anxious, fearing rejection as I had to present my group project in front of the class. My heart raced as I walked into the room, but as I started speaking, my nerves settled. The fear of rejection slowly faded away, replaced by a sense of accomplishment. It reminded me that sometimes, taking risks and facing our fears can lead to great rewards.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU, but the fear of rejection loomed over me like a dark cloud. I mustered up the courage to approach my crush during lunch, but my palms were sweaty, and my heart raced. As I stumbled over my words, I couldn't help but worry about being rejected. Thankfully, they smiled and engaged in conversation, alleviating my fears. Despite the daily hassle of fearing rejection, today reminded me that sometimes taking risks can lead to pleasant surprises.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. With a fear of rejection looming over me, I mustered up the courage to approach my professor about a research opportunity. Sweaty palms and a racing heart, I nervously presented my case. To my relief, my professor welcomed my idea with open arms, erasing my fear of rejection. It taught me that sometimes, taking a leap of faith can lead to incredible opportunities.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and fear as I prepared for my class presentation. The fear of rejection gnawed at me, making my palms sweaty and my heart race. As I stood in front of my classmates, I took a deep breath and mustered the courage to speak. Surprisingly, their encouraging nods and smiles washed away my fears. I realized that sometimes, the fear of rejection is just a hurdle we create in our minds.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU. As an undergraduate student, I faced the daily hassle of fear of rejection. I nervously approached my professor to discuss my grades, fearing that I might not have met his expectations. However, I mustered up the courage and realized that rejection is a part of life. Despite the fear, I reminded myself that it is better to try and face rejection rather than never trying at all.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today started off with a mix of excitement and anxiety as I prepared for my presentation in class. The fear of rejection loomed over me as I rehearsed my lines repeatedly. As I entered the classroom, my nerves escalated, but I took a deep breath and presented my ideas confidently. To my relief, my classmates applauded and appreciated my effort. Overcoming the fear of rejection taught me that taking risks can lead to great rewards, and it was a valuable lesson for both my academic and personal growth.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As an undergraduate student at DLSU, I constantly battle with the fear of rejection. Whether it's presenting my ideas in class or asking a professor for help, the fear lingers in the back of my mind. But today, I decided to push past it. I mustered up the courage to approach my professor after class and ask for clarification on a confusing topic. To my surprise, she was more than willing to help. It was a small victory, but it reminded me that sometimes, the fear of rejection is just an illusion standing in the way of progress.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was just like any other day, filled with the usual hustle and bustle of being an undergraduate student at DLSU. However, amidst the chaos, I couldn't help but feel a nagging fear of rejection creeping in. Whether it was raising my hand in class or approaching my crush in the cafeteria, the constant fear of being turned down held me back. It's a daily hassle that weighs heavily on my mind, making simple tasks feel like daunting challenges. But despite this fear, I strive to push through and conquer it, knowing that growth lies on the other side.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was quite a rollercoaster. I woke up with the fear of rejection looming over me, as I had to submit my application for an internship. Doubts filled my mind, making it hard to concentrate. However, I gathered my courage and submitted it, hoping for the best. Throughout the day, I constantly battled with insecurities, questioning whether I was good enough. It was mentally exhausting, but I refused to let fear control me. Despite the hurdles, I managed to push through, reminding myself that rejection is just a part of life's journey.",0,0,0,0,1,0,0,0,0,0,0,0,0
"Today was another hectic day at DLSU. I woke up feeling overwhelmed, as decision-making has always been a challenge for me. From choosing what to wear to deciding which classes to take next semester, I found myself constantly second-guessing my choices. This led to a delay in getting ready and a mild panic attack. However, with the support of my friends and a deep breath, I managed to make it through the day. Although decision-making remains a daily hassle, I am learning to trust my instincts and embrace the unknown.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day for me at DLSU, filled with the usual hustle and bustle. However, trouble making decisions seemed to be my constant companion. From the moment I woke up, I couldn't decide what to wear. In class, I struggled to choose between two equally interesting electives. Even during lunch, I found it challenging to pick between the myriad of food options. Decision-making truly tested my patience, but in the end, I learned to trust my instincts and embrace the uncertainties that come with being an undergraduate student.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, one daily hassle that always seems to plague me is trouble making decisions. From choosing which classes to take next semester to deciding what to have for lunch, I constantly find myself overwhelmed with choices. It's a never-ending battle between my desire to explore new opportunities and my fear of making the wrong decision. But hey, that's just a part of being an undergraduate student, constantly learning and growing through the ups and downs of decision-making.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, I found myself facing the daily hassle of trouble making decisions. From choosing which classes to prioritize, to deciding what to have for lunch at the crowded cafeteria, decision-making seemed to be my greatest challenge. Despite the overwhelming choices, I managed to navigate through the day, relying on my gut instincts and seeking advice from friends. Although it was tiring, I realized that making decisions is an essential part of college life, helping me grow and learn along the way.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was one of those days where trouble making decisions plagued me from the moment I woke up. Should I eat cereal or toast for breakfast? Should I wear blue or black jeans? The constant battle between choices left me feeling overwhelmed. Eventually, I managed to navigate through the day, but not without a lingering sense of indecisiveness. It's days like these that remind me of the importance of being confident in my choices and trusting my instincts.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was such a struggle. From the moment I woke up, I found myself unable to make decisions. Should I wear this shirt or that one? Should I have cereal or toast for breakfast? This indecisiveness continued throughout the day, making even the simplest tasks seem overwhelming. By the time I reached campus, I was mentally exhausted. It's frustrating when even the smallest choices become major obstacles. I hope tomorrow brings more clarity and decisiveness.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was quite a struggle for me as I battled with my chronic trouble in making decisions. From choosing my outfit in the morning to picking a lunch spot, every decision felt like a daunting task. I found myself overthinking and second-guessing every choice, which left me feeling mentally exhausted. It's frustrating to constantly doubt myself, but I'm determined to work on this hurdle and find a way to make decisions with more ease.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with various daily hassles. As an undergraduate student, I experienced the common struggle of trouble making decisions. From choosing which subjects to enroll in for the upcoming semester to deciding on the best study group for a project, decision-making seemed to loom over me. It felt overwhelming, but I reminded myself that it's all part of the journey. Embracing the challenges, I powered through the day, knowing that eventually, I'll learn to make better decisions with confidence.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was another hectic day at DLSU. I found myself struggling with the usual daily hassles, one of which was trouble making decisions. From what to wear in the morning to what to order for lunch, I was constantly second-guessing myself. The overwhelming choices and fear of making the wrong decision left me feeling indecisive and frustrated. Despite this, I managed to navigate through the day by reminding myself that sometimes it's okay to make mistakes and that every decision is a learning opportunity.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day filled with the usual daily hassles. I woke up feeling groggy and indecisive, struggling to choose what to wear. As I rushed to class, I found myself stuck in a long line at the cafeteria, unable to decide between the different food options. Later, during group discussions, I struggled to make decisions, constantly second-guessing myself. Despite these troubles, I managed to navigate through the day, learning to embrace the uncertainty and enjoy the process of decision-making, no matter how challenging it may be.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was such a struggle! I woke up feeling overwhelmed with the number of decisions I had to make. From choosing what to wear to picking which classes to enroll in next semester, I just couldn't seem to make up my mind. It felt like a never-ending battle of weighing pros and cons. Eventually, I managed to make some choices, but boy, decision-making can really be a hassle sometimes!",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with its usual daily hassles. One of them was trouble making decisions. From deciding which elective to choose for next semester to figuring out what to have for lunch, my mind was constantly overwhelmed. The endless options and fear of making the wrong choice seemed to paralyze me. In the end, I settled for the safe choice, but I couldn't help but wonder if I missed out on something better. Decision-making truly is a hassle, but it's a part of life that we must navigate through.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was one of those days when trouble making decisions seemed to be my biggest hassle. From choosing my outfit for the day to deciding which elective class to take next semester, I found myself constantly second-guessing my choices. Even picking a lunch option became a daunting task. It felt like my brain was in a constant state of confusion, making even the simplest decisions seem overwhelming. I hope tomorrow brings a clearer mind and fewer dilemmas.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day filled with the usual hassles. As an undergraduate student from DLSU, I found myself struggling with decision-making. From choosing which classes to prioritize, to deciding what to have for lunch, I felt overwhelmed with the countless choices. It felt like a never-ending battle between my desires and responsibilities. Eventually, I managed to make some decisions, even though they may not have been perfect. Despite the daily struggle, I realized that making decisions is a necessary part of life and an opportunity for personal growth.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with the usual daily hassles. Trouble making decisions plagued me throughout the day as I struggled to choose between attending a club meeting or studying for my upcoming exam. The constant back and forth in my mind made it difficult to concentrate on other tasks. Eventually, after much contemplation, I decided to prioritize my academics and opted to study. Although this decision brought a sense of relief, the ongoing battle of decision-making continues to be a challenge in my daily life.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was such a struggle to get through. I found myself caught up in my own mind, constantly grappling with decisions. From choosing what to have for breakfast to deciding which class to attend first, I was overwhelmed. It seemed like every choice I made was either too risky or too mundane. In the end, I realized that overthinking only led to wasted time. I learned to trust my instincts and embrace the beauty of taking chances, no matter how small.",0,0,0,0,0,1,0,0,0,0,0,0,0
"My day started off with the usual struggle of making decisions. From choosing what to wear to picking a breakfast option, I found myself weighing pros and cons endlessly. This indecisiveness followed me throughout the day, whether it was selecting a topic for my research paper or deciding which extracurricular activity to join. It seemed like every decision I made had the potential to lead to regret. I yearned for the ability to confidently make choices without second-guessing myself.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was one of those days where trouble making decisions seemed to be my biggest hassle. From choosing what to wear in the morning to deciding which classes to prioritize, I found myself constantly second-guessing my choices. Even during lunchtime, I couldn't decide between having a healthy salad or indulging in a burger. It was mentally exhausting. However, I managed to overcome this hurdle by reminding myself to trust my instincts and go with what felt right. Despite the challenges, I made it through the day, knowing that sometimes it's better to make imperfect decisions than to be stuck in indecision.",0,0,0,0,0,1,0,0,0,0,0,0,0
"Today was quite a struggle for me as I found myself constantly battling with trouble making decisions. From choosing what to wear in the morning to deciding which café to study in, I felt overwhelmed with indecisiveness. It seemed like even the simplest choices became arduous tasks. However, I realized that this daily hassle was an opportunity for personal growth. By embracing uncertainty and learning to trust my instincts, I slowly navigated through the day, making decisions that ultimately shaped my experience at DLSU.",0,0,0,0,0,1,0,0,0,0,0,0,0
