Narrative,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Not enough money for wants (entertainment and recreation),Concerns about owing money,Concerns about money for emergencies,Financial security
"So, I woke up this morning with concerns about owing money. My mind was occupied with thoughts of upcoming bills and loans that needed to be settled. As I rushed to get ready for my classes, the weight of this financial burden seemed to follow me everywhere. It's frustrating to constantly worry about money as an undergraduate student, but I know I have to keep pushing forward and find ways to manage my expenses. Despite the daily hassles, I strive to stay focused on my studies and remain hopeful that things will eventually fall into place.",0,0,1,0,0
"Today started off with the usual hustle and bustle of being an undergraduate student at DLSU. As I stepped into the campus, concerns about owing money clouded my mind. The looming due dates for tuition fees and other expenses weighed heavily on me. Despite the stress, I reminded myself to stay focused and dedicated to my studies. With determination, I embraced the challenges of the day, knowing that hard work will eventually pay off.",0,0,1,0,0
"Today was another day filled with the usual undergraduate struggles. As I rushed to class, concerns about owing money lingered in the back of my mind. The constant reminders of tuition fees, textbooks, and other expenses weighed heavily on me. Trying to balance my studies and part-time job seemed like a never-ending juggling act. However, amidst the daily hassles, I reminded myself that perseverance and hard work would eventually lead me to a brighter future.",0,0,1,0,0
"So, today started off with concerns about owing money. I woke up to a text message from my friend reminding me about the money I borrowed from him for last night's dinner. It completely slipped my mind! Feeling guilty, I immediately messaged him, apologizing for the delay in repayment and assuring him that I would return the money as soon as possible. It's frustrating to deal with unexpected expenses and forgetfulness, but I'm determined to sort it out and learn from this experience.",0,0,1,0,0
"So, today was quite a rollercoaster. Woke up to another day of college life filled with concerns about owing money. As I rushed to catch my morning class, my mind was preoccupied with thoughts of how to manage my expenses. During lunch, my friends suggested going out for a meal, but I had to decline, feeling guilty about spending more money. Thankfully, a surprise message from my parents came through, offering to help me out. A wave of relief washed over me, reminding me that even amidst financial struggles, there's always a silver lining.",0,0,1,0,0
"So, today started off with concerns about owing money. As an undergraduate student from DLSU, managing finances can be quite challenging. I had to juggle between paying for tuition fees, textbooks, and daily expenses. It's a constant worry, especially when unexpected expenses arise. However, I reminded myself to stay calm and focused. I made a budget plan, prioritized my expenses, and looked for part-time jobs to ease the burden. It may be a hassle, but I believe that with determination and resourcefulness, I can conquer these financial challenges and thrive in my academic journey.",0,0,1,0,0
"Today was a typical day at DLSU, filled with classes, assignments, and the constant hustle and bustle of student life. However, there was an underlying concern that nagged at me throughout the day - owing money. As a broke undergraduate student, the weight of unpaid bills and mounting debts constantly loomed over me. It was difficult to focus on my studies when financial worries clouded my mind. Nevertheless, I pushed through, determined to find a solution and alleviate this daily hassle.",0,0,1,0,0
"So, like, today was such a stressful day for me. I couldn't stop worrying about the money I owe. It's been bugging me for a while now, and it's starting to take a toll on my mental health. I kept thinking about how I'm going to pay it off, and it's been giving me major anxiety. I really hope I can find a way to sort this out soon because it's becoming a major hassle in my life.",0,0,1,0,0
"So, my day started off pretty rough. I woke up with concerns about owing money. The looming deadline for my tuition payment was causing me a lot of stress. As I made my way to campus, these worries weighed heavily on my mind, making it hard to focus on my classes. Throughout the day, I couldn't shake off the nagging feeling of financial uncertainty. It was a constant hassle that overshadowed everything else, making me long for a solution to this predicament.",0,0,1,0,0
"Today was quite a hectic day for me. As an undergraduate student from DLSU, I had to juggle between attending classes, completing assignments, and dealing with concerns about owing money. It's always a constant worry in the back of my mind, making it difficult to fully concentrate on my studies. However, I try my best to stay focused and optimistic, reminding myself that perseverance and hard work will eventually pay off. Despite the daily hassles, I remain determined to overcome these challenges and achieve my goals.",0,0,1,0,0
"So, today was quite a day. Woke up with the usual concerns about owing money, like the never-ending tuition fees and textbook expenses. As I rushed to catch the train, my card got declined at the turnstile, adding to my stress. Thankfully, my friend swooped in to save the day with some spare change. In class, I couldn't concentrate, constantly worrying about how to manage my finances. But hey, at least I made it through the day. Tomorrow's another battle.",0,0,1,0,0
"So, today was one of those days where I couldn't help but be concerned about owing money. As an undergraduate student from DLSU, managing finances can be quite challenging. From tuition fees to daily expenses, it feels like a never-ending cycle. But I try to stay positive and focus on finding part-time jobs and scholarships to alleviate the burden. It may be a hassle, but I know that with determination and hard work, I'll overcome this hurdle and forge a better future for myself.",0,0,1,0,0
"Today was a typical day as a DLSU undergraduate student. Waking up early, attending classes, and juggling assignments kept me busy. However, in the back of my mind, concerns about money for emergencies were always present. As I walked through the campus, I couldn't help but worry about unexpected expenses that could arise. It's a constant struggle to balance my studies and financial worries, but I remain hopeful that my hard work will pay off in the end.",0,0,0,1,0
"So, today was quite a day. Woke up with concerns about money for emergencies, as always. Had to skip breakfast to save a few bucks. Rushed to class, praying I wouldn't miss my bus. Got stuck in traffic, of course. Ended up being late, and my professor gave me the stink eye. Spent the whole day trying to focus on lectures, but my mind kept wandering to financial worries. At least I managed to grab a cheap lunch from the campus cafeteria. Can't wait for the day when I won't have to stress about emergencies anymore.",0,0,0,1,0
"So, today started off with the usual hustle and bustle of being a student at DLSU. As I rushed to my morning classes, concerns about money for emergencies kept nagging at the back of my mind. With tuition fees, transportation costs, and daily expenses, it's hard to set aside funds for unexpected situations. It's a constant worry, but I try to stay positive and focus on my studies. After all, education is an investment for a better future, and I trust that things will work out eventually.",0,0,0,1,0
"So, today was quite a rollercoaster of a day. Woke up feeling a little worried about money for emergencies - being an undergrad student, it's always a concern. Rushed to class, barely making it on time. As if that wasn't enough, my laptop decided to crash during an important presentation. Panicking, I had to borrow a classmate's laptop to salvage the situation. Later, I realized I left my wallet at home and had to beg a friend for lunch money. Thankfully, the day ended on a positive note when I found out I won a scholarship that will ease some of my financial worries. Phew!",0,0,0,1,0
"So, today started off like any typical day for me as an undergraduate student at DLSU. As I hurriedly got ready for my morning classes, I couldn't help but feel a constant concern about money for emergencies lingering in the back of my mind. With limited financial resources, unexpected expenses can feel overwhelming. However, I reminded myself to stay positive and focused on my studies, hoping that someday these concerns would be a thing of the past.",0,0,0,1,0
"So, today was just another day as an undergrad student at DLSU. As I rushed to my first class, concerns about money for emergencies kept nagging at the back of my mind. Being on a tight budget, unexpected expenses like medical bills or car repairs seemed like a nightmare. However, I reminded myself that worrying wouldn't solve anything and focused on making the most out of my day.",0,0,0,1,0
"So, today was one of those days where I couldn't help but worry about money for emergencies. As an undergraduate student at DLSU, unexpected expenses always seem to pop up at the most inconvenient times. Whether it's a sudden need for textbooks or a medical emergency, it's always a constant concern. Despite my tight budget, I try my best to save a little each month in case of any unforeseen circumstances. It's a constant juggling act, but I know that being prepared is crucial.",0,0,0,1,0
"So, today started off like any other day for me as an undergraduate student from DLSU. Waking up early, getting ready for class, and rushing to catch the shuttle. But amidst the hustle and bustle, concerns about money for emergencies kept nagging at the back of my mind. As I listened to the lecture, I couldn't help but worry about unexpected expenses and how I would manage them. It's a constant source of stress, but I try to stay positive and hopeful that things will work out somehow.",0,0,0,1,0
"Today has been quite a rollercoaster of emotions. As an undergrad student at DLSU, my mind is always preoccupied with concerns about money for emergencies. It's a constant hassle, juggling between paying for tuition fees, books, and daily expenses. However, despite these worries, I try to stay positive and remind myself that every obstacle is an opportunity for growth. With determination and hard work, I believe I can overcome these financial hurdles and create a brighter future for myself.",0,0,0,1,0
"So, I wake up this morning and as usual, my mind is already racing with thoughts about money. Being an undergraduate student at DLSU, I constantly worry about having enough funds for emergencies. Today, I received a notification about an upcoming field trip that requires a contribution, and it instantly adds to my concerns. I start brainstorming ways to cut costs and save more, hoping to build a safety net for unexpected expenses. It's just another day in the life of a broke college student, I guess.",0,0,0,1,0
"Today was quite a rollercoaster. Waking up late for my morning class was the least of my worries. As I rushed to catch the train, concerns about money for emergencies kept nagging at me. My laptop had suddenly crashed yesterday, and I couldn't afford to replace it. Amidst all the chaos, I found solace in knowing that I had my friends by my side. They reminded me that tough times pass, and together, we can conquer any hurdle.",0,0,0,1,0
"So, today was quite a rollercoaster. Woke up late, rushed to class, only to realize I forgot my wallet at home. Panic mode activated! My mind immediately went to concerns about money for emergencies. What if something happened and I needed cash? Thankfully, I spotted a friend who lent me some. Phew! Lesson learned: always double-check before leaving the house. Money matters can be such a hassle, but having supportive friends makes it a little easier.",0,0,0,1,0
"So, like, today was one of those days where I couldn't stop worrying about money for emergencies. As a broke college student, it's always a constant concern. I mean, what if something unexpected happens and I don't have enough cash to cover it? It's just another hassle on top of the pile of assignments and exams. Ugh, adulting is hard. But hey, at least I have my friends to lean on and support each other through these daily struggles. Together, we'll figure out how to conquer these financial worries and make it through the day.",0,0,0,1,0
"Today was a typical day at DLSU, filled with lectures, assignments, and daily hassles. One particular worry that constantly lingered in my mind was concerns about money for emergencies. As an undergraduate student, unexpected expenses can be quite daunting. Whether it's a sudden medical bill or a broken laptop, the uncertainty of having enough funds always leaves me on edge. However, I remind myself to stay focused, work hard, and save diligently, hoping that one day these concerns will be a thing of the past.",0,0,0,1,0
"Today was a typical day at DLSU, filled with lectures, assignments, and the constant hustle and bustle of university life. However, amidst the chaos, a nagging concern about money for emergencies lingered in the back of my mind. As a broke undergraduate student, any unexpected expenses would undoubtedly cause stress and anxiety. Despite this worry, I pushed through the day, hoping that my tight budget would hold up until the next payday.",0,0,0,1,0
"So, today was quite a rollercoaster of a day. Woke up to the usual hustle and bustle, but my mind was preoccupied with concerns about money for emergencies. As a broke college student, it's always a nagging worry. On my way to class, my phone suddenly died, leaving me panicking about how I would afford a new one. Thankfully, I found a small job opportunity on campus that might just save the day. Fingers crossed, this could be my ticket to financial stability and peace of mind.",0,0,0,1,0
"Today was quite a rollercoaster ride. Waking up late, I rushed to catch the bus, only to realize I forgot my wallet at home. Concerns about money for emergencies flooded my mind as I hurriedly borrowed some cash from a friend. Later, during a group project, my laptop unexpectedly crashed, causing panic and adding to my financial worries. Despite these hassles, I managed to get through the day, reminding myself to always prepare for unexpected expenses.",0,0,0,1,0
"Today was a typical day for me as a DLSU undergraduate student, but concerns about money for emergencies lingered in the back of my mind. As I rushed to catch the early morning class, I couldn't help but worry about unexpected expenses that might arise. The constant juggling of tuition fees, daily expenses, and the possibility of unforeseen emergencies added a layer of stress to my already hectic schedule. However, I remained hopeful, knowing that with perseverance and resourcefulness, I could overcome these financial hurdles and continue pursuing my education.",0,0,0,1,0
"So, today was quite a rollercoaster of emotions. Waking up, I couldn't help but worry about having enough money for emergencies. As an undergraduate student in DLSU, unexpected expenses always seem to pop up out of nowhere. From commuting mishaps to sudden health issues, the fear of not being financially prepared is a constant hassle. However, I try to stay positive and remind myself to save up for these potential emergencies, because being a student means being prepared for anything that comes my way.",0,0,0,1,0
"Today was a typical day at DLSU, but my mind was preoccupied with concerns about money for emergencies. As an undergraduate student, unexpected expenses often arise, and I constantly worry about being unprepared. Whether it's a sudden medical bill or a broken laptop, I constantly feel the need to save more to ensure I can handle any unforeseen circumstances. It's a daily hassle that weighs on my mind, but it also motivates me to work harder and be financially responsible.",0,0,0,1,0
"Today was a typical day as an undergrad at DLSU, but there was an underlying concern about money for emergencies that weighed on my mind. As I rushed between classes and met with friends, I couldn't shake off the worry of not having enough funds to handle unexpected situations. It's frustrating to constantly worry about financial stability while trying to focus on my studies. Despite this daily hassle, I remained determined to find a solution and make the most out of my time at the university.",0,0,0,1,0
"Today was just another typical day as an undergraduate student at DLSU. As I woke up this morning, concerns about money for emergencies immediately flooded my mind. With tuition fees, books, and daily expenses, saving up for unexpected situations seemed impossible. However, I reminded myself to stay positive and focused on finding part-time work opportunities and exploring scholarship options. Despite the daily hassle, I remained determined to overcome this financial hurdle and achieve my academic goals.",0,0,0,1,0
"Today was just like any other day, full of the usual undergraduate student struggles. As I walked through the bustling halls of DLSU, my mind was occupied with concerns about money for emergencies. The constant worry of not having enough funds for unexpected situations weighed heavily on my shoulders. With each passing day, I couldn't help but wonder how I would manage if something were to happen. Despite this ongoing hassle, I remained determined to focus on my studies and find ways to alleviate this financial burden.",0,0,0,1,0
"Today was quite a rollercoaster. Waking up late, I rushed to catch my morning class, only to realize I forgot my wallet at home. The fear of not having any money for emergencies haunted me throughout the day. After class, I received an unexpected call from my sister, informing me that our dog had fallen ill and required immediate medical attention. Panic set in as I realized I didn't have enough funds to cover the vet bills. It's moments like these that remind me of the constant concerns about money for emergencies that plague my daily life as an undergraduate student.",0,0,0,1,0
"Today was quite a challenging day for me as an undergraduate student at DLSU. I couldn't help but feel concerned about my lack of funds for emergencies. It's a constant worry that lingers in the back of my mind, making it hard to fully focus on my studies. I realized the importance of budgeting and saving up, but it's easier said than done. Nevertheless, I remain determined to overcome this hurdle and find ways to secure a safety net for unforeseen circumstances.",0,0,0,1,0
"Today was a typical day in my life as an undergraduate student at DLSU. Waking up early, I rushed to catch the bus, worrying about my dwindling savings. Concerns about money for emergencies constantly lingered in my mind, making me more cautious about my spending habits. Although I managed to attend my classes, the constant worry about unexpected expenses weighed heavily on me throughout the day. Despite these daily hassles, I remained determined to focus on my studies and find a way to overcome these financial challenges.",0,0,0,1,0
"So, today was quite a hectic day for me. I woke up with concerns about money for emergencies running through my mind. As an undergraduate student from DLSU, unexpected expenses can really throw me off balance. Throughout the day, I couldn't help but worry about how I would manage if any urgent situation arose. It's frustrating to constantly juggle between studies and financial worries, but I guess it's just a part of the student life. Hopefully, I can find a way to ease this burden soon.",0,0,0,1,0
"Today was another hectic day at school. As an undergrad student at DLSU, I had to juggle my classes, assignments, and extracurricular activities. On top of that, concerns about money for emergencies have been weighing on my mind. I constantly worry about unexpected expenses that might arise, from medical emergencies to unforeseen academic expenses. It's frustrating to be limited by financial constraints, but I try my best to stay focused and work hard, hoping that someday these worries will be a thing of the past.",0,0,0,1,0
"Today was quite a rollercoaster of emotions. Waking up late, I rushed to my first class, only to realize I forgot my wallet at home. The entire day, concerns about money for emergencies lingered in the back of my mind. As if that wasn't enough, my laptop suddenly crashed during an important group project, leaving me in a panic. Thankfully, a kind classmate offered to lend me some cash and our professor extended the deadline. Despite these daily hassles, I managed to make it through the day, reminding myself that challenges are just temporary bumps on the road to success.",0,0,0,1,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, in the back of my mind, concerns about money for emergencies lingered. As a struggling undergraduate student, unexpected expenses always seemed to crop up, causing stress and anxiety. Whether it was a sudden medical bill or a broken laptop, the fear of not having enough funds to cover these emergencies weighed heavily on my mind. Despite this constant worry, I tried to remain optimistic and focused on my studies, hoping that one day, I would be financially secure.",0,0,0,1,0
"Today was another typical day in my life as an undergraduate student at DLSU. I woke up early, eager to tackle the challenges that lay ahead. However, the constant worry about financial security loomed over me. As I rushed to catch the train, I couldn't help but think about the mounting expenses for tuition, books, and everyday necessities. Despite these daily hassles, I remained determined to give my best in my studies, hoping that all my hard work would pay off in the long run.",0,0,0,0,1
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As an undergraduate student, one of my daily hassles is the constant worry about financial security. Balancing tuition fees, allowances, and daily expenses can be quite challenging. However, I am determined to find solutions by applying for scholarships, taking on part-time jobs, and managing my expenses wisely. Despite the occasional stress, I remain grateful for the opportunities DLSU provides, pushing me to strive for academic excellence while developing my skills to secure a better future.",0,0,0,0,1
"Today was just another challenging day as an undergraduate student at DLSU. Financial security remains a constant hassle, with tuition fees, transportation expenses, and daily necessities constantly weighing on my mind. Juggling part-time jobs and squeezing every penny has become the norm. Despite the struggles, I remain determined to pursue my education and secure a better future. With every hurdle I overcome, I am one step closer to achieving my goals.",0,0,0,0,1
"Today, as an undergraduate student from DLSU, my day started with the constant reminder of financial security. Waking up to unpaid bills and the pressure to make ends meet, I embarked on my daily journey to campus. Amidst the hustle and bustle of classes and assignments, the worry of not being able to afford textbooks or even a decent meal lingered in the back of my mind. However, I remained determined, knowing that education is the key to a brighter future.",0,0,0,0,1
"As a DLSU undergraduate student, financial security is a daily hassle that often weighs on my mind. Balancing tuition fees, daily expenses, and the occasional splurge can be quite challenging. From seeking part-time jobs to applying for scholarships, I constantly strive to ensure a stable financial situation. Although it can be stressful at times, I find solace in knowing that my hard work and determination will eventually lead me to financial stability, allowing me to fully focus on my studies and enjoy my time as a student.",0,0,0,0,1
"Today has been quite a challenging day for me as an undergraduate student at DLSU. One of the daily hassles that constantly burdens my mind is financial security. As I woke up this morning, I couldn't help but worry about how I would manage to afford my tuition, textbooks, and daily expenses. It's a constant battle to balance my studies and part-time job, all while trying to make ends meet. However, I remind myself that this struggle is temporary and that my determination will lead me to a brighter future.",0,0,0,0,1
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, one constant worry lingered in the back of my mind - financial security. As an undergraduate student, I find myself constantly juggling my studies and part-time job to make ends meet. The stress of managing expenses, tuition fees, and daily necessities often weighs heavily on me. Despite these challenges, I remain determined to pursue my education and work towards securing a brighter future.",0,0,0,0,1
"Today was a typical day in my life as an undergraduate student at DLSU, filled with the usual daily hassles. One of the main concerns on my mind is financial security. As I rushed to my morning classes, I couldn't help but worry about the mounting student loans and the ever-increasing cost of living. Balancing my academics and part-time job has become a constant juggling act, as I strive to make ends meet without compromising my studies. But despite the challenges, I remain determined to pursue my education and secure a brighter future.",0,0,0,0,1
"Today was another challenging day as an undergraduate student at DLSU. Financial security remains a constant hassle as I struggle to make ends meet. Balancing part-time jobs with coursework is a juggling act that often leaves me feeling mentally and physically drained. The constant worry about tuition fees, textbooks, and daily expenses adds a layer of stress to my already hectic schedule. Despite these daily struggles, I remain determined to persevere and achieve my educational goals, hoping that one day, all this hard work will pay off.",0,0,0,0,1
"Today was just like any other day as an undergraduate student at DLSU. The day started with the constant worry about financial security looming over me. From managing my monthly allowance to paying for tuition fees, it's a daily hassle that never seems to fade away. But despite the stress, I remained determined and focused on my studies, knowing that education is the key to a brighter future. With every lecture, assignment, and exam, I push forward, hoping that one day, all the sacrifices and struggles will pay off.",0,0,0,0,1
"Today was just another typical day as an undergraduate student at DLSU. Waking up early, I hopped on the jeepney to get to school, my mind preoccupied with thoughts of financial security. As I attended my classes, I couldn't help but worry about the mounting tuition fees and the constant struggle to make ends meet. It's a constant juggling act, trying to balance my studies and part-time job, all while hoping for a brighter future. But despite the daily hassles, I'm determined to persevere and make the most out of my college experience.",0,0,0,0,1
"Today was a typical day as an undergraduate student at DLSU, filled with the usual daily hassles. One of the main concerns that weighed on my mind was financial security. As I hurriedly made my way to class, I couldn't help but worry about the mounting expenses, from tuition fees to daily necessities. Juggling part-time work and academic demands, I constantly sought ways to ensure a stable income. Despite the challenges, I remained determined to overcome this hurdle and thrive in my studies, hopeful that my hard work would lead to a brighter future.",0,0,0,0,1
"Today was just another day in my life as an undergraduate student at DLSU. As I woke up and prepared for the day, the constant worry of financial security hung over me like a dark cloud. The ever-increasing tuition fees and the rising cost of living made it difficult to stay afloat. But despite the constant struggle, I was determined to give my best and make the most out of my education. With every step I took on campus, I reminded myself that this temporary hardship would pave the way for a brighter future.",0,0,0,0,1
"Today was another hectic day as an undergraduate student at DLSU. Waking up to the reality of financial insecurity weighed heavily on my mind. Calculating my expenses, I realized how limited my resources were. The constant struggle to balance academics and part-time work seemed never-ending. However, amidst the challenges, I found solace in the support of friends and the determination to overcome this hurdle. With unwavering faith, I reminded myself that these hardships would only make my future success all the more rewarding.",0,0,0,0,1
"Today was just another typical day as an undergraduate student at DLSU. Waking up early, I couldn't help but feel a sense of worry about my financial security. Tuition fees, textbooks, and daily expenses constantly lingered in my mind. Despite working part-time, it seemed like a never-ending struggle to make ends meet. However, I reminded myself that this hurdle was just a small bump on my journey towards success. With determination and the support of my loved ones, I knew I could overcome this daily hassle and pursue my dreams.",0,0,0,0,1
"Today was a typical day for me, as a struggling undergraduate student at DLSU. Financial security remains a constant hassle in my life, with tuition fees, textbooks, and daily expenses constantly weighing me down. I often find myself juggling part-time jobs and studies, just to make ends meet. However, despite the challenges, I remain determined to persevere and achieve my goals. Each day is a reminder of the sacrifices I make to secure a brighter future for myself.",0,0,0,0,1
"Today was another typical day in college. I woke up early to attend my morning classes, but my mind was preoccupied with the constant worry about financial security. As a struggling undergraduate student, I constantly find myself juggling part-time jobs and student loans just to make ends meet. While I try to stay focused on my studies, the stress of financial instability always weighs heavily on my shoulders. Despite these daily hassles, I remain determined to persevere and work towards a brighter future.",0,0,0,0,1
"Today was a typical day in my life as an undergraduate student at DLSU, filled with its usual daily hassles. Financial security remained a constant concern, as I navigated through the day with limited resources. From carefully budgeting my meals to searching for affordable textbooks and part-time job opportunities, the struggle to maintain a stable financial footing became an integral part of my routine. Despite these challenges, I persevered, reminding myself that this phase was temporary and that my education was worth every penny.",0,0,0,0,1
"Today was just like any other day for me as an undergraduate student at DLSU. I woke up feeling the weight of financial insecurity on my shoulders. Thoughts of tuition fees, daily expenses, and the ever-increasing cost of living constantly loom in my mind. As I went through the day, I couldn't help but worry about how I would manage to make ends meet. Despite the challenges, I remain determined to pursue my dreams and find ways to secure a brighter future for myself.",0,0,0,0,1
"Today was just another day of juggling between classes and part-time work. As an undergraduate student from DLSU, financial security is always at the back of my mind. I constantly worry about making ends meet and ensuring that I can cover my tuition fees and daily expenses. It's a constant struggle to balance my studies with work, but I know that this is just a temporary phase in my journey towards a brighter future.",0,0,0,0,1
"So today started off with the usual hustle and bustle of being a DLSU undergraduate student. As I rushed to my classes, the constant worry about my financial security lingered in the back of my mind. Balancing tuition fees, daily expenses, and the occasional indulgences became a daily hassle. But despite the challenges, I pushed through, knowing that education is a key to a better future. With determination and a little bit of resourcefulness, I managed to make it through the day, reminding myself that hard work and perseverance will eventually pay off.",0,0,0,0,1
"Today, as a student at DLSU, I experienced the daily hassle of financial security. Waking up, I realized that my bank account was running low, which added stress to my already hectic day. I had to carefully plan my expenses, opting for cheaper meals and cutting back on unnecessary purchases. Despite the constant worry about money, I reminded myself to stay focused on my studies and persevere. Financial challenges may be tough, but with determination and resourcefulness, I am confident that I can overcome them.",0,0,0,0,1
"Today was just another typical day as an undergraduate student at DLSU. As I woke up, the constant worry about financial security nagged at the back of my mind. With tuition fees, daily expenses, and the pressure to maintain a decent lifestyle, it felt like a never-ending battle. However, I refused to let this obstacle dampen my spirits. I reminded myself that perseverance and hard work would eventually lead to a brighter future. Despite the daily hassle, I remained focused and determined to overcome this challenge and achieve my goals.",0,0,0,0,1
"Today was another typical day as an undergraduate student at DLSU. I woke up early, feeling the weight of financial security on my shoulders. As I made my way to campus, my mind wandered to the constant struggle of managing expenses and finding part-time jobs to support myself. Despite the stress, I remained determined to excel academically and make the most of my college experience.",0,0,0,0,1
"Being an undergraduate student at DLSU, my day is filled with numerous daily hassles. Financial security is one of the biggest concerns that constantly linger in my mind. Juggling between tuition fees, textbooks, and daily expenses, I find myself searching for part-time jobs or scholarships to ease the burden. It's a constant struggle to balance academics and financial stability, but I remain determined to overcome this obstacle and achieve success in my college journey.",0,0,0,0,1
"Today was a typical day for me as an undergraduate student at DLSU. As I woke up, thoughts about financial security immediately flooded my mind. The constant worry about being able to afford tuition fees, living expenses, and other necessities often weighs heavily on my shoulders. Despite the daily hustle and bustle of university life, the constant struggle to make ends meet serves as a reminder that financial stability is a constant challenge. Nonetheless, I remain determined to persevere and make the most out of my education, regardless of the hurdles that come my way.",0,0,0,0,1
"Today was another busy day as an undergraduate student at DLSU. Balancing my studies and part-time job has been quite challenging, especially when it comes to financial security. I constantly worry about covering my tuition fees, buying textbooks, and meeting daily expenses. However, I remain determined and motivated to succeed. Despite the daily hassle of financial insecurity, I am grateful for the opportunities provided by my education and the support from my family and friends.",0,0,0,0,1
"Today was another typical day at DLSU, filled with the usual hustle and bustle. However, the constant worry about financial security weighed heavily on my mind. As an undergraduate student, juggling tuition fees, daily expenses, and the occasional social outing became an ongoing challenge. Nonetheless, I persevered, seeking part-time jobs and scholarships to alleviate the financial burden. Despite the daily stress, I remained determined to excel academically and make the most out of my college experience.",0,0,0,0,1
"As a DLSU undergraduate student, financial security is a daily hassle that constantly plays on my mind. Balancing tuition fees, transportation expenses, and daily necessities becomes challenging. I often find myself meticulously planning my budget, searching for part-time jobs, and applying for scholarships to alleviate the financial burden. Despite the constant worry, I remain determined and focused on my studies, knowing that the sacrifices I make today will pave the way for a brighter future tomorrow.",0,0,0,0,1
"Today was quite a challenging day. As an undergraduate student at DLSU, one of the daily hassles I constantly deal with is financial security. With tuition fees, transportation costs, and daily expenses, it's always a struggle to make ends meet. However, I remain determined to overcome this obstacle. I work part-time to support myself and ensure that my education doesn't suffer. It's a constant juggling act, but I believe that perseverance and hard work will ultimately lead me to a brighter future.",0,0,0,0,1
