Narrative,Pollution,Crime,Traffic,Concerns about news events,Rising prices of common goods,Concerns about accidents
"So, this morning I woke up bright and early, ready to conquer the day. Little did I know, the traffic had other plans for me. As I made my way to DLSU, the roads were filled with honking cars, impatient drivers, and endless lines of vehicles. I couldn't help but feel frustrated as I watched the minutes tick by, knowing that I would be late for my first class. Traffic, the perpetual hassle of every DLSU student's day.",0,0,1,0,0,0
"So, picture this: I wake up late, rush through my morning routine, and head out the door in a frenzy. As if my day wasn't off to a rough start already, I find myself stuck in the notorious Manila traffic. The minutes crawl by as the honking horns and impatient drivers surround me. Sighing in frustration, I try to distract myself with some music, but it only adds to my annoyance. Eventually, I arrive at DLSU, my stress levels already at an all-time high. Traffic, my constant nemesis, never fails to make my day just a little more chaotic.",0,0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. As I woke up and prepared for classes, I couldn't help but dread the inevitable traffic that awaited me on my commute. The roads were packed with cars, buses, and motorcycles, all vying for space on the congested streets. It seemed like forever until I finally reached campus, but I made it just in time for my first class. Despite the hassle of traffic, I couldn't let it dampen my spirits. After all, it's all part of the daily grind as a student at DLSU.",0,0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. As I woke up and prepared for the day, I couldn't help but dread the thought of facing the infamous Manila traffic. True enough, as I made my way to school, I found myself stuck in a sea of cars, inching forward at a snail's pace. The frustration of being late for my morning class was palpable, but I reminded myself that this was just one of the countless daily hassles that came with living in this bustling city.",0,0,1,0,0,0
"So, like, my day started with the usual struggle of dealing with the horrendous traffic in Manila. I mean, seriously, it's like a never-ending maze of cars honking and motorcycles weaving in and out. I had to wake up super early just to make it to my morning class on time. And don't even get me started on finding parking space – it's like searching for a needle in a haystack! But hey, surviving the traffic is just part of being a DLSU student, right?",0,0,1,0,0,0
"So, picture this: I wake up early in the morning, excited to start my day as an undergraduate student at DLSU. But as soon as I step outside, I'm greeted by the chaotic symphony of honking horns and never-ending traffic. Maneuvering through the congested streets, I anxiously glance at my watch, worried about being late for class. It feels like a never-ending battle, as I navigate through the sea of cars and buses. Eventually, I reach campus, feeling both relieved and exhausted, ready to conquer the day ahead despite the daily hassle of traffic.",0,0,1,0,0,0
"Today was a typical day as an undergraduate student at DLSU, but the dreaded traffic was relentless. I woke up early to beat the rush hour, but it seemed like everyone had the same idea. The streets were congested, causing me to be stuck in traffic for what felt like hours. As I sat in my car, frustration grew with every passing minute. Finally, I arrived on campus, feeling relieved but also drained from the hassle. Despite the traffic, I managed to make it to my classes on time, reminding myself that perseverance always pays off.",0,0,1,0,0,0
"So, there I was, another typical day as an undergraduate student at DLSU. As I left my dorm bright and early, the Manila traffic greeted me with its notorious chaos. Bumper-to-bumper cars, honking horns, and the constant stop-and-go made my journey to campus feel like a never-ending ordeal. But hey, I guess it's just one of those daily hassles we have to endure in this vibrant city. I finally arrived at DLSU, slightly frazzled but ready to conquer the day ahead. Traffic may have slowed me down, but it definitely won't dampen my spirit.",0,0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. The day started off with the usual hassle of dealing with the heavy traffic on my way to school. I found myself stuck in the never-ending sea of cars, anxiously checking the time, hoping I wouldn't be late for my morning classes. Eventually, I made it to campus, but the traffic had already taken its toll on my mood. Despite the frustration, I powered through the day, determined to make the most out of my time at DLSU.",0,0,1,0,0,0
"So, today was another typical day as a student at DLSU. As usual, I had to endure the notorious Manila traffic just to get to school. It seemed like every vehicle in the city decided to hit the road at the same time. The traffic jam tested my patience, but I managed to stay calm by listening to my favorite music. Despite the hassle, I arrived at school on time, ready to face the challenges of the day. Traffic may be a daily struggle, but it's just a small bump in the road towards achieving my goals.",0,0,1,0,0,0
"So, picture this: it's another typical day as an undergraduate student at DLSU. I wake up early, ready to conquer the day. Little did I know, the infamous traffic monster had other plans. As I step outside, the chaos unfolds before my eyes. Cars bumper-to-bumper, horns blaring, and the frustration building up inside me. I let out a sigh, brace myself, and dive into the sea of vehicles. It feels like an eternal struggle, but I remind myself that this is just another hurdle I have to overcome in pursuit of my education.",0,0,1,0,0,0
"Today has been a rollercoaster of emotions as I navigated through my day as an undergraduate student at DLSU. Amidst my usual routine of attending classes and meeting deadlines, concerns about news events constantly weighed on my mind. The ongoing political unrest and global crises have left me feeling anxious and helpless. However, I find solace in discussing these issues with my peers, as we come together to educate ourselves and seek ways to make a positive impact on the world.",0,0,0,1,0,0
"Today started off like any other day, but as soon as I checked my phone, concerns about news events flooded my mind. The constant barrage of negativity and unrest made it difficult to focus on my studies. However, I reminded myself that amidst all the chaos, it is crucial to stay informed and be part of the solution. With a deep breath, I dove into my day, determined to not let these concerns overshadow my goals and aspirations.",0,0,0,1,0,0
"Today was a typical day in my life as an undergraduate student at DLSU. As I woke up and scrolled through my social media feed, I couldn't help but feel a sense of concern about the news events unfolding around the world. The constant barrage of alarming headlines and distressing images weighed heavily on my mind, making it difficult to focus on my studies. However, I reminded myself that staying informed is crucial, and I made a conscious effort to strike a balance between staying updated and prioritizing my academic responsibilities.",0,0,0,1,0,0
"Today was quite a hectic day for me as an undergraduate student at DLSU. Amidst attending virtual classes and working on assignments, concerns about news events kept distracting me. The constant stream of alarming headlines and unsettling stories filled my mind with worry and anxiety. It felt overwhelming to focus on my studies amidst such uncertainty, but I reminded myself to take deep breaths and stay positive. Despite these daily hassles, I managed to find solace in the support of my friends and the comforting routine of my academic responsibilities.",0,0,0,1,0,0
"Today has been quite a rollercoaster of emotions. As an undergraduate student at DLSU, I couldn't help but feel concerned about the recent news events. The constant barrage of distressing headlines has left me feeling anxious and overwhelmed. It's challenging to focus on my studies when my mind is preoccupied with the state of the world. However, amidst all the chaos, I find solace in the support of my friends and the hope that we can make a positive impact in our own little ways.",0,0,0,1,0,0
"Today started off with concerns about news events in my mind. As an undergraduate student at DLSU, I couldn't help but worry about the current state of the world. However, I reminded myself to focus on my studies and make the most out of my day. Despite the daily hassles, I managed to attend my classes, engage in meaningful discussions, and connect with my fellow students. By the end of the day, I realized that while news events might weigh on me, it's important to stay optimistic and continue striving for a better future.",0,0,0,1,0,0
"Today has been quite a rollercoaster of emotions. As an undergraduate student at DLSU, I couldn't help but feel concerned about the recent news events. The constant updates about political turmoil and social unrest have left me feeling overwhelmed and uneasy. It's challenging to focus on my studies when the world seems to be in chaos. However, I remind myself to stay informed, engage in meaningful discussions, and take small actions towards positive change. Despite the daily hassles, I am determined to persevere and make a difference in any way I can.",0,0,0,1,0,0
"Today was another typical day at DLSU, filled with classes and student responsibilities. However, amidst the hustle and bustle, concerns about news events weighed heavily on my mind. The recent surge in COVID-19 cases and political unrest in the country have left me feeling anxious and uncertain about the future. It's challenging to focus on my studies when the world outside feels so tumultuous. Nonetheless, I remind myself to stay informed, engage in meaningful conversations, and seek solace in the support of my friends and fellow Lasallians.",0,0,0,1,0,0
"So, like, today was just one of those days. I woke up and immediately felt this overwhelming concern about news events. It's like the whole world is falling apart, ya know? I couldn't help but feel this weight on my shoulders, constantly worrying about what's happening out there. It's hard to focus on my studies and enjoy my day when there's so much chaos around. But hey, I guess that's just part of being an undergrad student, dealing with these daily hassles while trying to navigate through life.",0,0,0,1,0,0
"So, today was quite a rollercoaster of emotions. Waking up to concerns about news events that seemed to be never-ending, I couldn't help but feel overwhelmed. As an undergraduate student in DLSU, my day revolved around lectures, assignments, and exams. However, amidst all the academic hustle, it was impossible to ignore the constant chatter about the world outside. It's tough to focus on my studies when my mind keeps wandering to the anxieties brought by these news events. But hey, we all need to stay strong and keep pushing forward. Life goes on, even with these daily hassles.",0,0,0,1,0,0
"So, like, today was just one of those days, you know? Started off with my usual morning routine—dragging myself out of bed, chugging coffee like there's no tomorrow. But then, bam! I stumbled upon some news events that seriously messed with my head. I mean, the world is going wild out there, and it's hard not to worry. But hey, I gotta keep my cool and focus on my studies. Can't let these concerns bring me down, right? Just gotta take it one step at a time and hope for the best. Life as an undergrad is tough, man.",0,0,0,1,0,0
"So, today was a pretty hectic day for me. As an undergrad at DLSU, I had my fair share of daily hassles. First of all, I couldn't help but be concerned about the news events that unfolded throughout the day. The constant barrage of distressing stories had me feeling overwhelmed and anxious. It was challenging to focus on my coursework with all the chaos happening around the world. However, I tried my best to stay informed while not letting it consume me entirely. It's essential to strike a balance between staying aware and taking care of our mental well-being.",0,0,0,1,0,0
"My day started with concerns about news events. As an undergraduate student at DLSU, I couldn't help but worry about the state of the world. The headlines were filled with political turmoil, natural disasters, and social injustices. It weighed heavily on my mind as I made my way to class, trying to focus on my studies. However, amidst the chaos, I found solace in the supportive community at school, reminding me that even in troubling times, there is hope for a better future.",0,0,0,1,0,0
"Today has been quite a hectic day for me as an undergraduate student at DLSU. As I woke up and checked my phone, concerns about the recent news events flooded my mind. The constant stream of alarming headlines and social media discussions left me feeling overwhelmed and anxious. Despite my best efforts to focus on my studies, these concerns kept nagging at me throughout the day, making it difficult to concentrate. I hope for some peace of mind soon, so I can navigate through my daily hassles with a clearer perspective.",0,0,0,1,0,0
"Today was a rollercoaster of emotions. As I sat in class, the concerns about news events weighed heavily on my mind. The constant barrage of unsettling headlines made it difficult to focus on my studies. During breaks, conversations revolved around the current state of the world, adding to my anxiety. Despite the daily hassles, I managed to find solace in the support of my friends and the comforting ambiance of the campus. It reminded me that amidst the chaos, there is still hope for a better tomorrow.",0,0,0,1,0,0
"Today was a typical day as an undergraduate student at DLSU. Waking up, I couldn't help but feel concerned about the news events happening around the world. It's disheartening to see the unrest and uncertainty. However, I knew I had to focus on my studies. Attending classes, completing assignments, and studying for exams kept me busy throughout the day. Despite the daily hassles, I found solace in knowing that I am gaining knowledge and skills to make a difference in the world, even if it's just a small one.",0,0,0,1,0,0
"So, like, today was just one of those days where I couldn't escape the constant concerns about news events. From the moment I woke up and checked my phone, it was just a barrage of unsettling headlines. It's crazy how these things can really affect your mood and make it hard to focus on anything else. I found myself constantly checking for updates throughout the day, trying to stay informed but also feeling overwhelmed. It's definitely a daily hassle that I wish I could just tune out sometimes.",0,0,0,1,0,0
"Today was just like any other day as an undergraduate student at DLSU. I woke up to the alarm blaring, already feeling overwhelmed by concerns about the news events happening around the world. As I rushed to get ready, my mind was filled with worries about the state of the world. However, as I stepped into the campus, surrounded by the bustling energy of my fellow students, I found solace and a sense of hope. It reminded me that despite the daily hassles, there is still a community working towards a better future.",0,0,0,1,0,0
"So, today was just like any other day at DLSU. Woke up, grabbed my coffee, and opened my laptop to catch up with the latest news events. But geez, the headlines were overwhelming - political controversies, climate change crises, and global conflicts. It's hard not to feel concerned and a bit hopeless, especially when you're just an undergraduate student trying to make sense of it all. But hey, I guess that's the world we live in, and all we can do is stay informed and hope for a better tomorrow.",0,0,0,1,0,0
"So, like, I woke up this morning, and the first thing I did was check my phone for the latest news. Man, there were so many crazy things happening in the world. It's always a hassle to read about all the messed up news events, ya know? I mean, it's important to stay informed and all, but sometimes it just gets overwhelming. But hey, gotta stay woke and aware, even if it means dealing with these daily concerns about news events.",0,0,0,1,0,0
"Today has been quite a rollercoaster. I woke up to the alarming news events unfolding worldwide, leaving me concerned about the state of the world. As I made my way to campus, I couldn't help but ponder over the chaos and uncertainty. However, amidst all the chaos, I found solace in the company of my friends, who reminded me that together we can make a difference. Despite the daily hassles, I strive to stay positive and focus on my studies, hoping that one day I can contribute to making this world a better place.",0,0,0,1,0,0
"Today started off with my usual routine of checking the news, but I couldn't help feeling overwhelmed by the constant stream of concerning events happening around the world. It's disheartening to witness the chaos and uncertainty that seems to be consuming our society. However, I reminded myself to focus on my studies and do my part to create a positive change. Despite the daily hassles of worrying about news events, I am determined to stay informed and use my education to make a difference in the world.",0,0,0,1,0,0
"Today was such a rollercoaster of emotions. As an undergrad at DLSU, I couldn't help but feel concerned about the news events unfolding around the world. The constant updates on political unrest and natural disasters had my mind racing. Amidst my classes and assignments, I found myself constantly checking for updates, feeling a mix of worry and hope. It's overwhelming, but I remind myself to stay informed and do my part in making a positive impact, no matter how small.",0,0,0,1,0,0
"Today was another typical day at DLSU, filled with classes and assignments. However, amidst the hustle and bustle, concerns about news events kept creeping into my mind. The constant stream of distressing headlines made it difficult to focus on my studies. The world seemed to be in chaos, and I couldn't help but feel overwhelmed. Nevertheless, I tried my best to stay informed while reminding myself to prioritize my own well-being. It's challenging to navigate through these troubling times, but I remain hopeful for a better tomorrow.",0,0,0,1,0,0
"Today was quite a hassle. As an undergraduate student from DLSU, I couldn't help but worry about the concerning news events happening around the world. It's disheartening to witness conflicts and disasters unfold, leaving me feeling helpless. However, I try to stay informed and contribute positively to my community by engaging in meaningful discussions and supporting causes that promote peace and justice. It may be overwhelming at times, but I believe that even small actions can make a difference in creating a better future.",0,0,0,1,0,0
"Today has been quite a rollercoaster of emotions. As an undergraduate student from DLSU, concerns about news events have been weighing heavily on my mind. From the political turmoil to global crises, it's hard not to feel overwhelmed. However, amidst the chaos, I found solace in my studies and the support of my friends. Together, we navigate through the uncertainties, reminding ourselves that our education is a powerful tool to make a positive impact in the world.",0,0,0,1,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As an undergraduate student, I couldn't help but be bothered by the constant concerns about news events. Whether it was the latest political scandal or the alarming rise in COVID-19 cases, these updates always weighed on my mind. However, amidst the chaos, I found solace in the support of my friends and the welcoming atmosphere of our campus. Together, we navigated through the challenges, reminding ourselves to stay informed but also take breaks to maintain our mental well-being.",0,0,0,1,0,0
"Today was a typical day at DLSU, but my concerns about news events kept nagging at the back of my mind. As I walked through the campus, I overheard snippets of conversations about the current political climate and the recent environmental issues. It's disheartening to witness the injustices happening around the world, and it often leaves me feeling helpless. Despite the daily hassles of student life, these concerns serve as a constant reminder to stay informed and strive for a better future.",0,0,0,1,0,0
"So, like, today was a pretty typical day for me. Woke up, checked my phone, and bam! Concerns about news events hit me right in the face. It's crazy how much is going on in the world right now. I mean, I'm just trying to get through my classes and keep up with my social life, but these news stories are always popping up and making me worry. It's like a constant reminder that life isn't all rainbows and unicorns. But hey, I guess it's important to stay informed, right? Gotta find that balance between staying in the loop and staying sane.",0,0,0,1,0,0
"So, today started off like any other day. I woke up, grabbed my phone, and the first thing I saw was the news about another natural disaster ravaging a nearby province. Concerned about the people affected, I couldn't help but feel a sense of helplessness. It's frustrating how these news events seem to be happening more frequently lately. I hope that the community can come together to support those in need.",0,0,0,1,0,0
"So, like, I woke up this morning and checked my phone, only to be bombarded with news about the rising prices of common goods. Ugh, seriously, can't catch a break! As a broke undergraduate student from DLSU, this is a major hassle. It's tough enough to survive on a tight budget, and now everything seems to be getting more expensive. I guess I'll have to start looking for cheaper alternatives and maybe cut down on my daily coffee runs. Sigh, the struggles of being a broke college student are real.",0,0,0,0,1,0
"So, today was just another typical day as an undergraduate student at DLSU. I woke up to the news of the rising prices of common goods, which immediately put a damper on my mood. As I hurriedly got ready for the day, I couldn't help but worry about the impact this would have on my already tight budget. Throughout the day, I found myself constantly comparing prices and searching for the best deals, all while trying to focus on my classes. It's frustrating to see the prices of everyday necessities steadily increasing, making it harder for students like me to make ends meet. But hey, I guess it's just another hurdle to overcome in this crazy journey called college life.",0,0,0,0,1,0
"So, today was just like any other day for me as an undergraduate student at DLSU. As I woke up and prepared for the day, one of the daily hassles that greeted me was the rising prices of common goods. I couldn't help but notice that my usual breakfast items had become more expensive, making it harder for a student like me to budget my allowance. Despite this, I tried to remain positive and focused on my studies, knowing that education is the key to a brighter future.",0,0,0,0,1,0
"So, today started off like any other day. I woke up to the sound of my alarm, groggily rolled out of bed, and made my way to the kitchen for breakfast. As I poured myself a bowl of cereal, I couldn't help but notice that the prices of the common goods had increased yet again. It's becoming increasingly difficult to make ends meet as a student. But hey, I guess that's just one of the daily hassles we all have to deal with. Time to get ready for class and face the day ahead!",0,0,0,0,1,0
"Today started off with a tinge of frustration as I walked into the campus bookstore to buy some stationery, only to be greeted by higher prices. It seems like the rising prices of common goods have become a daily hassle. Later, during lunch break, my friends and I decided to grab a quick bite at our favorite food stall, but even there, the prices had skyrocketed. It's disheartening to see how inflation affects even the simplest aspects of our daily lives. As an undergraduate student, budgeting becomes even more crucial, and these rising prices constantly remind me of the need to be mindful of my expenses.",0,0,0,0,1,0
"Today was another challenging day as an undergraduate student at DLSU. I woke up to the harsh reality of rising prices of common goods, making it harder to sustain a decent lifestyle. Despite my limited budget, I managed to grab a quick breakfast before heading to class. Throughout the day, I couldn't help but notice the constant reminders of the increasing cost of living. It's disheartening to see how these daily hassles add to the already stressful life of a student. But hey, resilience is our middle name, and we'll continue to strive and overcome these obstacles.",0,0,0,0,1,0
"Man, today has been a rollercoaster of emotions. Woke up late, rushed to class, only to find out the coffee shop on campus raised their prices again. Sigh. As if that wasn't enough, my usual lunch spot decided to join the trend too. I mean, how am I supposed to survive on a student budget with these rising prices of common goods? Guess I'll have to rely on my trusty instant noodles for the rest of the week. College life sure knows how to keep you on your toes.",0,0,0,0,1,0
"So, here's the thing. Being a student at DLSU is definitely not a walk in the park. Especially when you have to face the daily hassles that come with it. One of the most annoying things I've encountered lately is the rising prices of common goods. I mean, seriously, how am I supposed to survive on my meager allowance when everything from food to toiletries keeps getting more expensive? It's like the universe is playing a cruel joke on broke college students like me. But hey, I guess it's just one of those things you have to deal with in this crazy world.",0,0,0,0,1,0
"Man, today was a tough one. Woke up to the news of rising prices of common goods, and it hit me hard. I had to skip my usual morning coffee because the price hike was just too much. Throughout the day, I couldn't help but notice the inflated prices at the canteen and even the convenience stores near campus. It's becoming harder to get by as an undergraduate student. I guess I'll have to tighten my budget even more and find creative ways to make ends meet.",0,0,0,0,1,0
"So, I woke up this morning and the first thing I noticed was how much the price of my favorite cereal had gone up. I mean, seriously, can't a broke college student catch a break? As if that wasn't bad enough, when I went to grab my usual coffee on my way to class, the barista casually mentioned that they had raised their prices too. Great. Just what I needed. It seems like everything I need to survive as a student is becoming more and more expensive. How am I supposed to keep up with these rising prices? It's becoming a real hassle, and frankly, it's stressing me out.",0,0,0,0,1,0
"So, like, today was just another typical day for me as an undergrad at DLSU. Waking up in the morning, I couldn't help but notice how the prices of common goods keep skyrocketing. It's seriously driving me crazy! I mean, I'm already struggling to make ends meet with my limited budget, and now this? It's like everything I need is getting more expensive by the day. It's such a hassle to constantly worry about money and try to find ways to save. Ugh, I hope things get better soon because this whole price hike situation is seriously stressing me out!",0,0,0,0,1,0
"Man, today was a tough day. Woke up to the news of rising prices of common goods. As a broke undergraduate student, this hit me hard. I had to skip my usual breakfast because a loaf of bread now costs an arm and a leg. And don't even get me started on the skyrocketing price of coffee! It's like someone decided to drain my wallet overnight. But hey, adversity breeds creativity, right? So, I resorted to a DIY lunch and scoured my pantry for random ingredients. It turned out surprisingly delicious, though. Guess I'll have to keep finding innovative ways to survive this price hike.",0,0,0,0,1,0
"Today was another typical day as a student at DLSU, filled with the usual hustle and bustle. However, one thing that has been causing me constant frustration is the rising prices of common goods. Every time I visit the campus cafeteria, I can't help but notice how the cost of my favorite snacks and meals has skyrocketed. It's becoming increasingly difficult to stretch my limited budget, and I find myself constantly searching for cheaper alternatives. Despite this daily hassle, I remain determined to make the most of my college experience while finding creative ways to navigate through these financial hurdles.",0,0,0,0,1,0
"Man, what a day! Woke up and checked my phone, only to see headlines about rising prices of common goods. Great, just what I needed! As I headed to the campus, I stopped by the cafeteria for a quick breakfast. But guess what? Prices had gone up there too! Lunchtime rolled around, and my friends and I decided to grab some fast food. You won't believe it, but even there, the prices had skyrocketed! It's getting harder to keep up with the increasing cost of living. I hope things get better soon, or I'll be living on instant noodles for the rest of my college life!",0,0,0,0,1,0
"So, I woke up this morning feeling groggy and hungry. As I stumbled my way to the kitchen, I couldn't help but frown at the rising prices of common goods. It seems like everything I used to buy without a second thought has become a luxury. Nevertheless, I managed to scrounge up a simple breakfast and headed to class, hoping that somehow things will get better soon.",0,0,0,0,1,0
"So, today was just another day in the life of a struggling college student. As I woke up, the first thing that hit me was the rising prices of common goods. It seems like everything is becoming more expensive by the day. I had to carefully budget my money just to afford a decent breakfast. Later, as I walked to class, I couldn't help but notice the steep increase in transportation fares. It's frustrating how these basic necessities are becoming harder to afford. Despite these daily hassles, I try to stay positive and remind myself that this phase will pass.",0,0,0,0,1,0
"So, today was just another typical day at DLSU, filled with endless lectures and assignments. But what really got on my nerves was the rising prices of common goods. I mean, seriously, can a poor student catch a break? From the expensive cafeteria meals to the overpriced textbooks, it feels like every day is a battle against the ever-increasing costs. It's frustrating to constantly worry about money when all I want to do is focus on my studies. But hey, I guess that's just the reality of being an undergraduate student.",0,0,0,0,1,0
"So, like, today was just another day in this crazy world of rising prices, man. I woke up feeling groggy and hungry, craving my usual breakfast of cereal, but dang, the price has gone up again! I had to settle for a cheaper option, which tasted like cardboard. Then, I headed to class and realized I forgot to bring my lunch from home. I had to buy it at the cafeteria, and let me tell you, it's not cheap anymore. It's getting harder to survive as a broke college student with these rising prices of common goods. Can't catch a break, dude.",0,0,0,0,1,0
"Today was just another hectic day as an undergraduate student at DLSU. Classes were challenging, deadlines were looming, and to top it off, the rising prices of common goods were becoming a hassle. Grabbing a quick bite between classes felt like a luxury I couldn't afford anymore. It's frustrating to see my hard-earned money being stretched thinner each day. But despite these daily struggles, I remained determined to pursue my education and make the most out of my time here at DLSU.",0,0,0,0,1,0
"So, today was just another typical day at DLSU, filled with the usual hustle and bustle. But man, the rising prices of common goods are really starting to get to me. As a broke undergraduate student, it feels like every time I step foot outside, the cost of everything has gone up. From my morning coffee at the campus cafe to the snacks I buy during class breaks, it's becoming harder and harder to stretch my limited budget. But hey, I guess it's just another challenge that comes with being a student in this ever-changing world.",0,0,0,0,1,0
"So, today started like any other typical day for me as an undergraduate student at DLSU. As I groggily got out of bed, I couldn't help but notice the rising prices of common goods. It seemed like everything from my morning cup of coffee to my favorite snacks had become more expensive overnight. Although it was frustrating, I reminded myself to be more mindful of my spending habits and prioritize my needs. Despite this daily hassle, I knew I had to stay focused on my studies and make the most out of my day at DLSU.",0,0,0,0,1,0
"So, picture this: it's just another typical day in the life of a DLSU student. I wake up, groggy from a late-night study session, only to be greeted by the harsh reality of rising prices of common goods. As I head to the cafeteria for breakfast, I notice that my usual affordable meals have become a bit more expensive. Later in the day, as I search for a quiet spot to study, I can't help but feel the pinch of these rising prices on my limited student budget. But hey, as a resilient undergrad, I'll adapt and find creative ways to make ends meet.",0,0,0,0,1,0
"Today was just another day filled with daily hassles. As an undergraduate student from DLSU, I couldn't help but feel frustrated with the rising prices of common goods. My morning began with a trip to the cafeteria, where I was shocked to see the inflated prices of my favorite snacks. Later, while buying groceries, I couldn't believe how much I had to pay for basic necessities. It's disheartening to see how these rising prices affect my daily life as a student, making it harder to manage my limited budget. I can't help but wonder when this cycle will end.",0,0,0,0,1,0
"So, today was another typical day at DLSU. I woke up to the annoying sound of my alarm clock, only to be greeted by the rising prices of common goods as I strolled through the campus. Breakfast at the cafeteria seemed pricier than usual, and even a simple cup of coffee at the nearby cafe had become a luxury. It's frustrating how our hard-earned money seems to have less value every day. But hey, despite these daily hassles, I managed to power through the day and make the most out of my time here at DLSU.",0,0,0,0,1,0
"So, I woke up this morning feeling a bit groggy from staying up late studying. As I stumbled into the kitchen to grab some breakfast, I couldn't help but notice the rising prices of common goods. The cereal box that used to be affordable now seemed like a luxury. Feeling a little frustrated, I made a mental note to budget my expenses more carefully. Despite the hassle, I reminded myself that as a resourceful student, I would find ways to overcome this challenge and make the most out of my day.",0,0,0,0,1,0
"So I woke up this morning feeling hungry and decided to grab breakfast at the nearby café. But as I looked at the menu, I couldn't help but notice the rising prices of common goods. My usual breakfast sandwich now costs more than before. Frustrated, I settled for a cheaper alternative. Throughout the day, I encountered more instances where the increased prices affected my choices. It's disheartening how the rising cost of living is making it harder for students like me to enjoy the simplest things in life.",0,0,0,0,1,0
"So, today was just another typical day at DLSU, filled with classes, projects, and of course, the never-ending struggle against the rising prices of common goods. As I rushed to the cafeteria during my break, I couldn't help but notice how the prices of my favorite snacks had skyrocketed overnight. Frustrated, I settled for a cheaper alternative, only to find out it tasted nothing like what I had hoped for. Sighing, I reminded myself that this was just one of the many daily hassles we students faced, and I had to adapt to survive in this expensive world.",0,0,0,0,1,0
"So, today was one of those days where everything seemed to be going wrong. As a student, I am always on a tight budget, and the rising prices of common goods have become a major hassle. From the moment I woke up, I realized that even my favorite breakfast cereal had gone up in price. As I made my way to campus, I couldn't help but notice the increasing prices at the convenience store. It was disheartening, to say the least. This constant struggle to afford even the basic necessities has become a daily frustration for me and many others.",0,0,0,0,1,0
"So, like, my day started off with the usual struggle of dealing with the rising prices of common goods. I mean, seriously, a cup of coffee now costs more than my entire breakfast! It's getting ridiculous, you know? But anyway, I managed to survive the day by skipping a few unnecessary expenses and sticking to my budget. It's tough being a broke college student, but hey, at least I'm learning how to be resourceful, right?",0,0,0,0,1,0
"So, today started like any other day, rushing to get to class on time. But as I walked towards the campus, I couldn't help but notice the rising prices of common goods at the nearby convenience store. It's frustrating to see how the cost of living keeps increasing, making it harder for students like me to make ends meet. Nevertheless, I tried to brush off this annoyance and focused on my lectures, hoping that someday these daily hassles will be a thing of the past.",0,0,0,0,1,0
"Today was a typical day as an undergraduate student at DLSU. However, concerns about accidents constantly lingered in my mind. The crowded hallways and rush hour traffic outside the university premises often made me anxious. I found myself constantly dodging reckless drivers and maneuvering through the chaos. Although I tried to focus on my studies, the fear of accidents was an unfortunate daily hassle that added an extra layer of stress to my already busy schedule.",0,0,0,0,0,1
"Today, as I made my way to class at DLSU, I couldn't help but feel concerned about accidents on campus. I noticed how some students were engrossed in their phones while crossing the road, oblivious to oncoming vehicles. It made me realize the importance of being mindful and cautious. I hope that everyone on campus understands the gravity of this issue and takes the necessary precautions to ensure their safety.",0,0,0,0,0,1
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As I made my way through the crowded hallways, concerns about accidents lingered in the back of my mind. Students rushing to their classes, oblivious to their surroundings, made me wary of unexpected collisions. Dodging through the sea of people, I breathed a sigh of relief when I finally reached my destination unscathed. Despite the daily hassles, the vibrant energy of the university never fails to inspire and motivate me to navigate these minor obstacles.",0,0,0,0,0,1
"So, today was quite a day at the campus. First, I had to deal with concerns about accidents. The traffic on the way to school was insane, with reckless drivers zooming past. Then, during a lab experiment, a classmate accidentally knocked over a beaker, causing a minor chemical spill. Thankfully, no one got hurt, but it was a hassle to clean up. Overall, it was a day filled with worries about accidents, making me realize the importance of staying alert and cautious in every situation.",0,0,0,0,0,1
"Today was quite a hectic day at DLSU. As I rushed to my morning class, concerns about accidents lingered in my mind. The crowded pathways and reckless drivers made navigation a nerve-wracking experience. I dodged speeding motorcycles and impatient drivers, praying for my safety. Although I managed to reach my classes unharmed, the constant worry about potential mishaps dampened my day. I hope that the university takes measures to enhance safety on campus, ensuring a stress-free environment for students like me.",0,0,0,0,0,1
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, concerns about accidents constantly lingered in my mind. Dodging reckless motorcyclists while crossing the street, witnessing near-misses on the pedestrian lanes, and squeezing into overcrowded buses heightened my worries. Despite these daily hassles, I managed to navigate through the chaos, always reminding myself to stay alert and cautious. Safety is paramount in this unpredictable urban jungle.",0,0,0,0,0,1
"Today was a typical day at DLSU, but I couldn't shake off my concerns about accidents on campus. The narrow sidewalks were always crowded, making it difficult to navigate through the bustling crowd. Motorcycles zipped past without a care, and the lack of designated pedestrian lanes only added to the chaos. I constantly found myself dodging reckless drivers and praying for my safety. It's unfortunate that such concerns overshadowed an otherwise productive day at school.",0,0,0,0,0,1
"Today started off with my mind preoccupied with concerns about accidents. As I rushed to catch the bus, I couldn't help but worry about reckless drivers on the road. The crowded streets only added to my anxiety. Thankfully, I managed to arrive at DLSU unscathed, but the constant worry lingered in the back of my mind throughout the day. It's a reminder to always be cautious and mindful of my surroundings, especially in this bustling city.",0,0,0,0,0,1
