Narrative,Concerns about medical treatment,Physical illness,Side effects of medication,Concerns about health in general,Concerns about bodily functions
"Today has been a rollercoaster of a day. Waking up, I immediately felt the side effects of my medication kicking in. The drowsiness made it difficult to focus during my morning classes. As the day went on, I battled through fatigue and a constant headache, trying to keep up with the demands of university life. Despite the challenges, I persevered, finding small moments of relief amidst the chaos. Although these side effects can be a hassle, I remind myself that they are a small price to pay for managing my health and pursuing my education.",0,0,1,0,0
"Today was a challenging day. Dealing with the side effects of medication felt like a never-ending battle. The drowsiness made it hard to focus in class, and the constant nausea made it difficult to enjoy my meals. Despite these daily hassles, I pushed through and managed to complete my assignments. As I lay in bed, I reminded myself that this journey towards better health will be worth it in the end.",0,0,1,0,0
"Today was quite a challenging day for me. As an undergraduate student at DLSU, I had to deal with the side effects of my medication. I felt drowsy and had difficulty concentrating during class, making it hard to actively participate. Despite these obstacles, I pushed through and managed to complete my assignments. It was a constant struggle to stay alert, but I reminded myself that it was just a temporary hurdle on my road to success.",0,0,1,0,0
"So, today was quite a rollercoaster ride. I woke up feeling groggy and drowsy due to the side effects of my medication. It took me forever to get out of bed and even longer to get ready for class. During the lectures, I struggled to stay awake and focused. I could feel my energy levels dropping rapidly. Despite my best efforts, I couldn't shake off the dizziness and nausea. Thankfully, I managed to survive the day with the support of my friends and a lot of determination. But man, do I miss the days when I didn't have to deal with these pesky side effects.",0,0,1,0,0
"Today was a rollercoaster ride for me. The side effects of my medication hit me like a ton of bricks. I felt drowsy and had difficulty concentrating during my morning classes. As if that wasn't enough, I experienced a sudden bout of nausea during lunchtime. Despite these hurdles, I managed to push through the day, constantly reminding myself that it's just a temporary phase. It's frustrating, but I know these side effects are a small price to pay for my overall well-being.",0,0,1,0,0
"Today was a rough day. The side effects of my medication kicked in, and I felt drowsy and dizzy throughout the day. It was hard to concentrate during class, and I even dozed off a couple of times. The constant headache added to my frustration, making it difficult to focus on my assignments. Despite these challenges, I pushed through, taking short breaks whenever needed. Hopefully, these side effects will subside soon, and I can get back to my usual routine without any hindrances.",0,0,1,0,0
"So, today started off with the usual hustle and bustle of a typical day at DLSU. However, the side effects of my medication decided to make an unexpected appearance. As I struggled to stay focused in class, a foggy haze clouded my mind, making it difficult to comprehend the lectures. Despite my best efforts, fatigue and drowsiness persisted throughout the day, causing me to yawn uncontrollably and struggle to keep my eyes open. It was undoubtedly a challenging day, but I managed to push through, counting down the hours until I could finally rest and let the side effects subside.",0,0,1,0,0
"Today was a typical day at DLSU, but my mind was clouded with concerns about my health. I couldn't shake off the worry about my stamina, especially with the mounting stress from exams and assignments. It felt like my body was running on empty, and I couldn't find the time to prioritize self-care amidst the hustle and bustle of university life. Despite the nagging concern, I pushed through the day, hoping to find a moment to address my health issues soon.",0,0,0,1,0
"Today has been quite a rollercoaster. Waking up with a sore throat and a pounding headache, concerns about my health started to consume my thoughts. Should I go to the clinic? Or tough it out and hope it goes away? As the day progressed, my worries intensified. Every cough and sniffle made me question if it was something more serious. Despite trying to focus on my classes, concerns about my overall health weighed heavily on my mind, making it difficult to concentrate. Hoping tomorrow brings some relief.",0,0,0,1,0
"Today started off with the usual hustle and bustle of being an undergraduate student at DLSU. As I rushed to my first class, concerns about my health lingered in the back of my mind. The stress of exams and assignments often takes a toll on my overall well-being. I made a mental note to take breaks and prioritize self-care throughout the day. Despite the daily hassles, I remained determined to overcome these obstacles and make the most out of my college experience.",0,0,0,1,0
"Today was a typical day filled with the usual hustle and bustle of university life. However, a constant concern about my health lingered in the back of my mind. As an undergraduate student, I often find myself neglecting self-care amidst the demands of academics and extracurricular activities. The lack of exercise and proper nutrition has taken a toll on my overall well-being. But, amidst all the daily hassles, I am determined to prioritize my health and find a balance between my responsibilities and taking care of myself.",0,0,0,1,0
"Today was quite a challenging day for me. As an undergraduate student from DLSU, I had my fair share of daily hassles, including concerns about health in general. Waking up with a scratchy throat, I couldn't help but worry about falling sick amidst the demanding workload. Throughout the day, I constantly reminded myself to stay hydrated, eat nutritious meals, and take short breaks to avoid burning out. Despite these concerns, I managed to push through and complete my tasks, hoping that tomorrow would bring a healthier and less worrisome day.",0,0,0,1,0
"Today was just one of those days when I couldn't shake off my concerns about my health. My mind kept wandering to all the things that could go wrong. I worried about the quality of the food I ate, the lack of exercise I had been getting, and the constant fatigue I felt. It's frustrating to have these thoughts constantly nagging at me, but I guess it's a reminder to take better care of myself. Hopefully, tomorrow will be a better day.",0,0,0,1,0
"So, today was one of those days when I couldn't help but worry about my health. I woke up feeling a bit under the weather, with a headache and a scratchy throat. It's always a hassle because I have classes to attend and assignments to complete. I managed to drag myself out of bed and make it to campus, but the constant concern about my health lingered in the back of my mind throughout the day. I made sure to drink lots of water and take breaks whenever I could. Despite the hassles, I'm determined to prioritize my health and find ways to stay on top of my game.",0,0,0,1,0
"Today has been quite a hassle-filled day for me. As an undergraduate student from DLSU, my concerns about health have been lingering in the back of my mind. With the ongoing pandemic, staying healthy has become a top priority. From constantly sanitizing my hands to wearing a mask all day, it's become a daily routine. However, the fear of contracting the virus still lingers, making every step outside my dorm a nerve-wracking experience. Despite these concerns, I try to stay positive and take every precaution necessary to ensure my well-being.",0,0,0,1,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. Amidst the rush, I couldn't help but have concerns about my health in general. The stress of juggling assignments, exams, and extracurricular activities often takes a toll on my well-being. It's a constant struggle to find time for exercise and maintain a balanced diet. Nevertheless, I remind myself to prioritize self-care amidst the chaos, knowing that a healthy body and mind are essential for success in both my academic and personal life.",0,0,0,1,0
"Today was quite a hectic day for me. Aside from my regular classes and assignments, I couldn't help but worry about my health. Lately, I've been experiencing constant headaches and fatigue, which made it difficult for me to focus. I kept questioning if I was getting enough sleep or if my diet was causing these issues. It's frustrating to deal with these concerns while trying to keep up with my academics. Hopefully, I can find some time soon to address these health issues and put my mind at ease.",0,0,0,1,0
"So, today started off like any other day. Woke up feeling groggy and tired, but also a little concerned about my health in general. I've been neglecting my exercise routine lately, and it's starting to take a toll on me. I need to find a way to incorporate some physical activity into my daily schedule. Maybe I'll try going for a walk during breaks or taking the stairs instead of the elevator. It's important to prioritize my health, even amidst the hustle and bustle of university life.",0,0,0,1,0
"So, my day started off with concerns about my health in general. I woke up feeling groggy and lethargic, which made me worry if I was coming down with something. Despite my best efforts to eat healthy and exercise regularly, it seemed like my body was betraying me. As I got ready for the day, I couldn't help but wonder if I needed more rest or if there was something else going on. It's frustrating when you try your best to take care of yourself, yet your body doesn't always cooperate.",0,0,0,1,0
"Today has been a rollercoaster of emotions. Waking up with a throbbing headache, concerns about my health engulfed my thoughts. Should I skip class and rest? But then, the fear of missing out on important lectures haunted me. Pushing through, I managed to drag myself to school, but the constant worry lingered. Balancing my studies and well-being has become an ongoing hassle, reminding me that taking care of myself should always be a priority.",0,0,0,1,0
"So, today was just like any other day. Woke up feeling groggy and tired, but hey, that's normal for a college student, right? As I dragged myself out of bed, my mind couldn't help but wander to my concerns about health in general. Am I eating right? Am I getting enough exercise? All these questions nagged at me as I hurriedly got ready for my day at DLSU. But you know what? Despite the daily hassles, I know I'll figure it out. After all, I'm a resilient student ready to conquer anything that comes my way.",0,0,0,1,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As an undergraduate student, I couldn't help but have concerns about my health in general. Juggling classes, assignments, and extracurricular activities often leaves me drained and neglecting my well-being. But, I'm learning to prioritize self-care amidst the chaos. Taking short breaks, eating nutritious meals, and staying active are small steps I'm taking to ensure a healthy lifestyle. It's a constant struggle, but I'm determined to strike a balance between my academics and health.",0,0,0,1,0
"Today has been a hectic day for me as an undergraduate student at DLSU. Amidst the pressure of assignments and exams, concerns about my health have been lingering in my mind. The long hours of sitting in front of a computer screen have taken a toll on my posture and eyesight. I constantly remind myself to take breaks, stretch, and practice self-care. It's a daily hassle, but I strive to strike a balance between my academics and overall well-being.",0,0,0,1,0
"Today was a typical day for me as an undergraduate student at DLSU, but concerns about my health were weighing heavily on my mind. With the ongoing pandemic, I couldn't help but worry about my well-being and that of my loved ones. I constantly reminded myself to practice good hygiene, wear a mask, and maintain social distancing. Although it added a layer of stress to my day, I knew that taking these precautions was essential to protect myself and others. Despite the constant worries, I remained determined to stay healthy and focused on my studies.",0,0,0,1,0
"Today has been quite a hassle for me. I woke up feeling a bit under the weather, and I couldn't help but worry about my health in general. With the ongoing pandemic, every little cough or sneeze makes me anxious. I decided to take extra precautions by wearing a mask and constantly sanitizing my hands. Despite the concerns, I managed to attend my online classes and complete my assignments. Hopefully, I'll feel better soon and put these health worries behind me.",0,0,0,1,0
"Today was just one of those days where my concerns about health in general were on my mind. Waking up with a slight headache, I couldn't help but worry if it was just fatigue or something more serious. Throughout the day, I found myself constantly sanitizing my hands and avoiding crowded areas. The stress of balancing academics and staying healthy seemed overwhelming at times. However, I reminded myself to take deep breaths and prioritize self-care. Despite the daily hassles, I managed to push through and make the most out of my day.",0,0,0,1,0
"Today has been quite a hectic day for me as an undergraduate student at DLSU. On top of my assignments and exams, I've been constantly plagued by concerns about my health in general. With the ongoing pandemic, every cough or sneeze triggers worry and anxiety. I find myself constantly checking my temperature and ensuring I'm following all the necessary precautions. It's exhausting to juggle academic responsibilities while constantly being on edge about my well-being. Nevertheless, I remain determined to prioritize my health and strive for success in my studies.",0,0,0,1,0
"Today was a typical day at DLSU, but I couldn't shake off my concerns about my health in general. As I rushed through crowded hallways and sat in packed classrooms, the fear of contracting a cold or flu loomed over me. I constantly reminded myself to wash my hands regularly and avoid touching my face. The stress of staying healthy while managing my academics added another layer of hassle to my day. Nonetheless, I persevered, hoping that my efforts would pay off and keep me in good health throughout the semester.",0,0,0,1,0
"So, today was just another typical day at DLSU. Woke up feeling a bit groggy, but my concerns about health in general were lingering in the back of my mind. The stress of exams, late-night study sessions, and the unhealthy food options on campus have taken a toll on my well-being. I made a mental note to squeeze in some exercise later and try to make healthier food choices. Despite the hassles, I reminded myself that maintaining good health is essential for a successful journey through university.",0,0,0,1,0
"So, today started off like any other day. I woke up feeling a little under the weather, which led to my concerns about my health in general. Despite this, I pushed through and headed to class, trying to ignore the slight headache and fatigue. Throughout the day, I couldn't help but worry about my overall well-being, constantly reminding myself to drink enough water and take breaks to rest. It's frustrating to deal with these concerns while trying to focus on my studies, but I'm determined to take care of myself and not let it get the best of me.",0,0,0,1,0
"Today was quite a hectic day at DLSU. I woke up feeling a bit under the weather, concerned about my health in general. As I rushed to my morning classes, I couldn't help but worry about whether I was taking proper care of myself amidst the stress and late nights studying. I tried to stay focused during lectures, but my mind kept drifting back to my overall well-being. It's times like these when I realize the importance of self-care and making time for my health, even amidst the chaos of university life.",0,0,0,1,0
"Today was just like any other day, filled with the usual hustle and bustle of being an undergraduate student at DLSU. Waking up, I couldn't help but feel a nagging concern about my health in general. The stress of deadlines and exams always takes a toll on me, leaving me feeling drained and exhausted. But I pushed through the day, reminding myself to prioritize self-care and make healthier choices. Despite the daily hassles, I managed to find moments of solace and relaxation, understanding that my well-being is just as important as my academic pursuits.",0,0,0,1,0
"Today was a typical day for me as an undergraduate student at DLSU, but I couldn't help but be preoccupied with concerns about my health. With the ongoing pandemic, I constantly worry about staying safe and healthy on campus. From wearing masks and practicing social distancing to constantly sanitizing my hands, these precautions have become a regular part of my daily routine. Despite the hassles, I understand the importance of prioritizing my health and the health of those around me.",0,0,0,1,0
"Today has been quite a challenging day for me as a DLSU undergraduate student. Amidst my busy schedule, concerns about my health have been nagging at the back of my mind. The constant exposure to stress and lack of sleep have taken a toll on my overall well-being. Balancing academics, social life, and personal responsibilities has become an uphill battle. However, I remain determined to prioritize self-care, hoping to find a better equilibrium between my studies and my health.",0,0,0,1,0
"Today was a typical day for me as a DLSU undergraduate. I woke up feeling groggy and concerned about my health. The stress of endless assignments and exams had taken a toll on me. Despite this, I pushed myself to attend classes and engage in discussions. Throughout the day, I couldn't help but worry about staying healthy amidst the hustle and bustle of university life. Balancing academics and self-care felt like a constant struggle. However, I remained determined to prioritize my well-being and find ways to manage my concerns about health in general.",0,0,0,1,0
"So, it was just another typical day in my life as an undergraduate student at DLSU. As I woke up, concerns about my health in general started creeping into my mind. The constant late-night study sessions and irregular eating habits were beginning to take a toll on me. I couldn't help but worry about my overall well-being and how it could affect my academic performance. Nevertheless, I decided to address these concerns by incorporating healthier habits into my daily routine, such as exercising regularly and making sure to have balanced meals. After all, taking care of my health is essential for a successful college journey.",0,0,0,1,0
"So, another typical day began as I woke up with concerns about my health in general. The stress from assignments and exams has taken a toll on my well-being. As I rushed to get ready, I couldn't help but worry about eating a balanced meal and finding time to exercise. Amidst the chaos of lectures and group projects, finding a moment to prioritize my health seems like an uphill battle. However, I remind myself that self-care is crucial and vow to make small changes to improve my overall well-being.",0,0,0,1,0
"My day at DLSU started with concerns about bodily functions. As I rushed to my morning class, I realized I forgot to eat breakfast. My growling stomach distracted me throughout the lecture, making it difficult to concentrate. To add to my discomfort, I desperately needed to use the restroom, but the long line was an unpleasant surprise. Finally, during lunch break, I was able to satisfy both my hunger and relieve myself. Lesson learned: never underestimate the importance of taking care of bodily needs before starting the day!",0,0,0,0,1
"So, like, today was just one of those days where I couldn't stop worrying about my bodily functions. First, I woke up with a pounding headache, probably from staying up too late cramming for exams. Then, during my morning lecture, my stomach started growling so loudly that everyone turned to look at me. And to top it all off, I had to run to the bathroom right before my afternoon class because I had a sudden urge to pee. Ugh, can't a girl catch a break?",0,0,0,0,1
"Today was a typical day as an undergraduate student at DLSU. However, amidst all the lectures and assignments, concerns about bodily functions became a hassle. A sudden urge to use the restroom during a crucial exam caused anxiety, and finding a clean and available restroom on campus was a challenge. Additionally, navigating through a packed cafeteria during lunchtime led to discomfort and a desperate search for a quiet corner to eat. Despite these daily hassles, I managed to overcome them and carry on with my day.",0,0,0,0,1
"Today was quite a challenging day for me. While attending my classes at DLSU, I couldn't help but be concerned about my bodily functions. The long hours of sitting made me worry about my posture and back pain. Additionally, my growling stomach reminded me that I had skipped breakfast, causing me to feel faint. Despite these everyday hassles, I managed to push through the day and stay focused on my studies.",0,0,0,0,1
"So, today was quite a hassle-filled day. First off, I woke up with a pounding headache, courtesy of last night's shenanigans. Then, as if that wasn't enough, I had to deal with an upset stomach during my morning class, desperately praying for a washroom break. And to top it all off, my allergies decided to act up, leaving me sneezing and sniffling all day long. Ugh, the struggles of being a student, constantly battling bodily functions!",0,0,0,0,1
"Today was quite a hassle-filled day for me. I woke up feeling bloated, which led to concerns about my bodily functions throughout the day. I anxiously rushed to the nearest restroom during every break, hoping to find relief. To add to the chaos, I accidentally spilled coffee on my pants during lunch, causing further discomfort. Thankfully, my friends were understanding and supportive during these embarrassing moments. Despite these daily hassles, I managed to survive the day with a sense of humor and a little more appreciation for smooth bodily functions.",0,0,0,0,1
"So, it was just a regular day at DLSU for me, dealing with the usual daily hassles. Amidst the hustle and bustle, concerns about bodily functions suddenly became a major hassle. As I rushed to my morning class, I couldn't help but worry about my growling stomach, desperately hoping it wouldn't interrupt the lecture. Later, during a group discussion, my bladder decided to remind me of its existence, causing me to squirm uncomfortably. Ah, the struggles of being an undergraduate student, juggling academic responsibilities and bodily demands!",0,0,0,0,1
"Today started off with the usual concerns about bodily functions. Rushing to make it to my morning class, I realized I forgot to eat breakfast. As my stomach growled loudly during the lecture, I couldn't help but worry about finding time for a bathroom break. The struggle continued during group discussions, as I desperately tried to hide my bloated stomach. Finally, after a long day, I could finally relieve myself and indulge in a satisfying meal. Ah, the joys of being an undergraduate student at DLSU.",0,0,0,0,1
"So, I woke up this morning feeling a bit off. I had some concerns about my bodily functions, if you know what I mean. I rushed to the bathroom, hoping for a quick relief. But no luck, my stomach continued to protest throughout the day, giving me a constant reminder of its existence. It was quite a hassle, trying to concentrate on lectures while battling these uncomfortable sensations. I couldn't wait to get home and finally find some peace.",0,0,0,0,1
"Today was a typical day at DLSU, filled with classes and endless assignments. However, amidst the chaos, I couldn't help but feel concerned about my bodily functions. The discomfort of sitting through lectures with a growling stomach or desperately searching for a restroom during breaks became a daily hassle. It's a constant battle between focusing on academics and addressing nature's calls. But hey, it's all part of the undergraduate experience, right?",0,0,0,0,1
"Today was just one of those days where concerns about bodily functions were a major hassle. I woke up with a terrible headache, and my stomach felt uneasy. Throughout the day, I had to constantly find ways to relieve my discomfort, whether it was sipping on ginger tea or taking short breaks to the restroom. It was frustrating to deal with these bodily issues while trying to focus on my classes and assignments. Despite the hassle, I managed to push through and make it to the end of the day, hoping for a better tomorrow.",0,0,0,0,1
"So, it's just a typical day in the life of a DLSU student. I wake up feeling groggy and head straight to the bathroom, only to realize there's no toilet paper left. Great start to the day! Then, during class, my stomach decides to make embarrassing noises, leaving me feeling self-conscious. And to top it all off, I have to rush to find a restroom between classes, praying I won't be late. Ah, the joys of being a student with bodily function concerns!",0,0,0,0,1
"So, today started off with the usual concerns about bodily functions. I woke up feeling bloated and rushed to the bathroom. As if that wasn't enough, I had to deal with an upset stomach during my morning lecture too. Thankfully, I made it through the day without any embarrassing incidents, but these daily hassles really take a toll on my well-being. Time to prioritize my health and find a way to keep these concerns at bay.",0,0,0,0,1
"So, my day started off with concerns about bodily functions. I woke up with a grumbling stomach and rushed to the bathroom, hoping to relieve myself before my morning class. But of course, the toilet paper had decided to magically disappear, leaving me in a bit of a sticky situation. After a frantic search, I finally found a stray roll hidden at the back of the cabinet. Crisis averted, but needless to say, my day didn't quite start as smoothly as I had hoped.",0,0,0,0,1
"Today was just one of those days where concerns about bodily functions seemed to be at the forefront of my mind. I woke up with a pounding headache, probably due to dehydration. Then, during my morning lecture, my stomach decided to unleash its own symphony of gurgles, making me wish I had skipped that extra cup of coffee. Finally, as if to add insult to injury, I found myself constantly needing to use the restroom, making it difficult to concentrate on my assignments. Oh, the joys of being a student!",0,0,0,0,1
"So, today was quite a day for me. I woke up with concerns about bodily functions, feeling a bit under the weather. Throughout the day, I had to deal with a runny nose and a sudden urge to use the restroom during a crucial lecture. It was quite embarrassing, but luckily my friends were understanding. Despite these daily hassles, I managed to push through and make the most out of my day at DLSU.",0,0,0,0,1
"So, today started off like any other typical day. I woke up with concerns about bodily functions, feeling bloated and uncomfortable. As I rushed to get ready for my morning classes, I couldn't help but worry about finding a washroom in between lectures. I tried to push these concerns aside and focus on my studies, but it was a constant nagging thought in the back of my mind. Thankfully, I managed to make it through the day without any major incidents, but it definitely added an extra layer of stress to my already hectic schedule.",0,0,0,0,1
"So, you know how it goes. Another day at DLSU, trying to navigate through the hustle and bustle of campus life. But today, on top of the usual worries about deadlines and exams, my mind is preoccupied with concerns about bodily functions. From worrying about finding a clean restroom in between classes to praying that my stomach doesn't betray me during an important presentation, it's safe to say that today's daily hassle is definitely centered around my bodily functions. Ah, the joys of being an undergraduate student!",0,0,0,0,1
"So, today was one of those days where everything seemed to revolve around bodily functions. First, I woke up with a terrible stomachache, worrying about my digestion for the rest of the day. Then, during my morning lecture, I couldn't focus due to the constant urge to use the restroom. Finally, to top it off, I accidentally spilled my water bottle all over myself, making me feel even more self-conscious about my bodily mishaps. Overall, it was a day filled with unexpected concerns about bodily functions that I hope to forget soon.",0,0,0,0,1
"Today was quite a challenging day for me. As I rushed to my first class, I couldn't shake off the nagging concern about my bodily functions. I had skipped breakfast and could feel my stomach growling loudly during the lecture. To add to my distress, I realized I forgot to bring my water bottle, making it harder to concentrate. It was definitely a struggle to focus on my studies while dealing with these bodily inconveniences. But hey, that's just a typical day in the life of an undergraduate student!",0,0,0,0,1
"So, it's just another typical day in the life of an undergraduate student. I wake up with a grumbling stomach, reminding me that I forgot to eat dinner last night due to an all-nighter. As I rush to get ready for class, I suddenly find myself desperately needing to use the bathroom. The struggle to find a clean and unoccupied one becomes a daily hassle. Amidst all the bodily function concerns, I try to maintain my composure and remind myself that these are just small bumps on the road to success.",0,0,0,0,1
"Today started off with concerns about bodily functions as I rushed to find a bathroom in between classes. To my dismay, the only available one had a malfunctioning lock. Embarrassed and desperate, I resorted to holding the door shut with my foot. Later, during a group presentation, my stomach started growling loudly, drawing everyone's attention. Mortified, I tried to ignore it and continue speaking. All these bodily function mishaps made me realize the importance of being prepared and carrying snacks to avoid such embarrassing situations.",0,0,0,0,1
"So, today was one of those days where my concerns about bodily functions seemed to take over. It started with a rumbling stomach during an important lecture, making it impossible to concentrate. Then, I had to endure a seemingly never-ending line at the restroom, desperately hoping I wouldn't have an embarrassing accident. And to top it all off, I had to deal with an unexpected sneeze that resulted in a tissue shortage. It's safe to say that bodily functions were the main protagonist of my day, causing more hassle than I could have ever imagined.",0,0,0,0,1
"So, this morning I woke up feeling groggy and realizing I had overslept. Rushing to get ready for class, I couldn't help but worry about my bodily functions. Did I have time for a proper breakfast or even a quick shower? As I hurriedly grabbed a granola bar, I couldn't ignore the rumbling in my stomach. Hoping I wouldn't have any embarrassing moments during lectures, I dashed out the door, praying my body would cooperate throughout the day.",0,0,0,0,1
"It was just another day at DLSU, filled with the usual hustle and bustle. However, amidst the chaos, I couldn't help but worry about my bodily functions. The endless cups of coffee had taken their toll, and a sudden urge to visit the restroom hit me during a crucial lecture. Trying to discreetly exit the classroom, I found myself stuck in a never-ending line of students, anxiously shifting from one foot to another. It was a true test of patience, as I desperately hoped for a miracle that would grant me relief.",0,0,0,0,1
"Today was one of those days where concerns about bodily functions added to my daily hassles. I woke up with a pounding headache, probably from dehydration. Rushing to the bathroom, I realized I had forgotten to buy toilet paper. After a quick shower, I discovered I was out of shampoo. With damp hair and a grumbling stomach, I hurriedly dressed and ran to class. As I sat there, my growling stomach reminded me that I had skipped breakfast. Oh, the joys of being an undergraduate student!",0,0,0,0,1
"So, it was just a regular day at DLSU. I woke up feeling a bit off, with concerns about bodily functions plaguing my mind. As I rushed to get ready, I couldn't help but worry about my upset stomach. Throughout the day, I found myself constantly seeking out the nearest restroom, hoping to find some relief. Despite these pesky concerns, I managed to push through my classes, but boy, was I glad when the day finally ended. Time to finally relax and take care of this bodily hassle!",0,0,0,0,1
"Today started off with concerns about bodily functions as I rushed to the bathroom due to an upset stomach. Despite feeling better afterwards, I couldn't shake off the worry of it happening again during class. I made sure to pack extra tissues and medication just in case. Thankfully, the rest of the day went smoothly, but I couldn't help but feel a lingering unease. It's a hassle to constantly be preoccupied with bodily functions, but I push through, determined not to let it hinder my day.",0,0,0,0,1
"Today was such a rollercoaster! I woke up feeling groggy and immediately started worrying about whether my stomach would cooperate during my morning lecture. Thankfully, I made it through without any embarrassing moments. Later, I found myself eagerly waiting for a break to use the restroom, only to discover it was closed for cleaning. Talk about bad timing! It's crazy how these little concerns about bodily functions can really throw off your whole day.",0,0,0,0,1
"So, like, I wake up this morning feeling all groggy and stuff, and the first thing on my mind is my stomach. I mean, seriously, it's like a ticking time bomb waiting to explode. I rush to the bathroom, hoping to avoid any embarrassing moments during class. As if that wasn't enough, my nose starts acting up, and I'm sneezing all over the place. Ugh, being a student means dealing with these bodily function concerns, and it's just not cool. Can't wait for the day to end and get some peace from these hassles.",0,0,0,0,1
